/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Jul 15 02:10:18 +0000 2016;WAD49407282;RT @_UrubuNews_: Gávea amanheceu mais bonita nesta quinta-feira c/ a Myrtha, a nova piscina do @Flamengo, que será usada no @Rio2016. https…;
Fri Jul 15 02:10:11 +0000 2016;eorocha;Só facada https://t.co/ECKXK6BryU;
Fri Jul 15 02:07:34 +0000 2016;Pernelle3;RT @JogosOlimpicos: Faltam 22 dias, 2 horas e 22 minutos para os Jogos @Rio2016! 😍😍 #RumoAoRio #ChegaLogo! https://t.co/YpUoTjZ1nY;
Fri Jul 15 02:07:23 +0000 2016;Pernelle3;RT @JogosOlimpicos: Faltam 23 dias para os Jogos @Rio2016! Mal podemos esperar! 💚💛 #RumoAoRio https://t.co/jAhA85Bcgu;
Fri Jul 15 02:06:58 +0000 2016;LuciaBizzotto;RT @zecalins1405: #Frankstemer  vai inaugurar a vaia olímpica internacional na Rio2016.;
Fri Jul 15 02:06:13 +0000 2016;Orlandopravoce;RT @OperacoesRio: #Rio2016 Saiba os dias em que haverá feriado municipal em agosto: https://t.co/x6rIF95mLt https://t.co/XvNm96UpZb;
Fri Jul 15 02:05:13 +0000 2016;MixmasterCass;Após protesto da Força Nacional, secretário diz que diárias serão pagas #G1 https://t.co/pE7GMp4zNe;
Fri Jul 15 02:04:46 +0000 2016;aircraftengine_;RT @avozdobrasil: Cerca de 80 aeronaves devem garantir segurança do espaço aéreo brasileiro durante Jogos #Rio2016 https://t.co/ZASib61R0V…;
Fri Jul 15 02:04:11 +0000 2016;Isaac_Silva07;RT @jose_simao: Rio2016! Vingança do 7X1! https://t.co/jLtE7MrVNx;
Fri Jul 15 02:03:12 +0000 2016;chandemengao;RT @OperacoesRio: #Rio2016 Saiba os dias em que haverá feriado municipal em agosto: https://t.co/x6rIF95mLt https://t.co/XvNm96UpZb;
Fri Jul 15 02:02:58 +0000 2016;noventuxow;RT @OperacoesRio: #Rio2016 Saiba os dias em que haverá feriado municipal em agosto: https://t.co/x6rIF95mLt https://t.co/XvNm96UpZb;
Fri Jul 15 02:02:49 +0000 2016;EDIMOSIP;RT @avozdobrasil: Cerca de 80 aeronaves devem garantir segurança do espaço aéreo brasileiro durante Jogos #Rio2016 https://t.co/ZASib61R0V…;
Fri Jul 15 02:02:45 +0000 2016;martinss21;RT @portalfab: Vários treinamentos foram realizados pela FAB nos últimos anos para aumentar a capacidade da Força na #Rio2016. https://t.co…;
Fri Jul 15 02:02:44 +0000 2016;iaipam;RT @OperacoesRio: #Rio2016 Saiba os dias em que haverá feriado municipal em agosto: https://t.co/x6rIF95mLt https://t.co/XvNm96UpZb;
Fri Jul 15 02:02:15 +0000 2016;ruipbessa;RT @Deco20oficial: Parabéns Chico Ramos! Convocado @selecaoportugal para os Jogos Olímpicos @Rio2016 ! Vamos! 🇵🇹 ⚽️  #Rio2016 #Olympics htt…;
Fri Jul 15 02:02:08 +0000 2016;DefesaGovBr;RT @avozdobrasil: Cerca de 80 aeronaves devem garantir segurança do espaço aéreo brasileiro durante Jogos #Rio2016 https://t.co/ZASib61R0V…;
Fri Jul 15 02:01:58 +0000 2016;crfdaenio;RT @_UrubuNews_: Gávea amanheceu mais bonita nesta quinta-feira c/ a Myrtha, a nova piscina do @Flamengo, que será usada no @Rio2016. https…;
Fri Jul 15 02:01:29 +0000 2016;alwaystephanie;RT @OperacoesRio: #Rio2016 Saiba os dias em que haverá feriado municipal em agosto: https://t.co/x6rIF95mLt https://t.co/XvNm96UpZb;
Fri Jul 15 02:01:28 +0000 2016;essaline;RT @OperacoesRio: #Rio2016 Saiba os dias em que haverá feriado municipal em agosto: https://t.co/x6rIF95mLt https://t.co/XvNm96UpZb;
Fri Jul 15 02:00:57 +0000 2016;Mikuimmm;RT @Esp_Interativo: Acho que o Brasil tá bem de 10 pros jogos @Rio2016, hein... https://t.co/p6kkfm586g;
Fri Jul 15 02:00:53 +0000 2016;marconovanta;RT @OperacoesRio: #Rio2016 Saiba os dias em que haverá feriado municipal em agosto: https://t.co/x6rIF95mLt https://t.co/XvNm96UpZb;
Fri Jul 15 02:00:44 +0000 2016;OperacoesRio;#Rio2016 Saiba os dias em que haverá feriado municipal em agosto: https://t.co/x6rIF95mLt https://t.co/XvNm96UpZb;
Fri Jul 15 01:59:30 +0000 2016;MaristelaCembra;RT @portalfab: A FAB apresenta daqui a pouco no RJ os detalhes do esquema de controle e defesa do espaço aéreo durante a #Rio2016. https://…;
Fri Jul 15 01:57:46 +0000 2016;nikkaland;Vem Olimpíadas vem #Rio2016 https://t.co/Td3BMOHf8y;
Fri Jul 15 01:56:45 +0000 2016;lodi96;Absurda a despreocupação com esses voluntários. #Rio2016  https://t.co/O1uhL75PA6;
Fri Jul 15 01:55:55 +0000 2016;LukeO3O;RT @_UrubuNews_: Gávea amanheceu mais bonita nesta quinta-feira c/ a Myrtha, a nova piscina do @Flamengo, que será usada no @Rio2016. https…;
