/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Jul 28 03:03:05 +0000 2016;Nairoquinha;#Dicas para curtir o #RiodeJaneiro nas #OlimpíadasnoRio #Rio2016 As 5 melhores trilhas no Rio e arredores | https://t.co/lRuUeCJftw;
Thu Jul 28 03:03:05 +0000 2016;GabrielF_SLZ;RT @PanichiRaphael: 05. Cada vez pior o #Rio2016 ! A população de Angra enfurecida com a passagem da Tocha! O povo está enfurecido! https:/…;
Thu Jul 28 03:02:20 +0000 2016;dilsontome;@CorreiosBR @Rio2016 entregar as encomendas em casa nada né? #nãovaiterolimpiadas;
Thu Jul 28 03:02:16 +0000 2016;caligeanboa;RT @g1: Mais de 250 milhões de Moedas da Olimpíada estão em circulação https://t.co/t65YYAHIJ6 #Rio2016 #G1 https://t.co/I1njAuB19f;
Thu Jul 28 03:02:14 +0000 2016;mrsouzar;RT @PanichiRaphael: 05. Cada vez pior o #Rio2016 ! A população de Angra enfurecida com a passagem da Tocha! O povo está enfurecido! https:/…;
Thu Jul 28 03:02:10 +0000 2016;linda22kinha;RT @Francielfbm: #OperacaoBetaLab Rajadas fortes de vento causam estragos no Parque Olímpico, Rio: Painel de artista plástica ... https://t…;
Thu Jul 28 03:01:48 +0000 2016;hilqcai;Mais de 250 milhões de Moedas da Olimpíada estão em circulação  https://t.co/zCX39KH8Tb;
Thu Jul 28 03:01:36 +0000 2016;AngelaaRosa;RT @selecaoportugal: Já estamos no Rio de Janeiro! @Rio2016_en #Rio2016 https://t.co/r7sTQtdv0B;
Thu Jul 28 03:01:28 +0000 2016;hilqcai;Rodoviária Novo Rio deve receber 2,4 milhões de pessoas para Olimpíada https://t.co/sBROfe1Gdz;
Thu Jul 28 03:01:22 +0000 2016;AngelaaRosa;RT @selecaoportugal: A Seleção Olímpica treina em Mangaratiba. #Rio2016 https://t.co/mmM1yZe3eX;
Thu Jul 28 03:01:18 +0000 2016;L_Dornelles;Desculpe. Eu ri. 
#Rio2016 #cidadeolimpica #Maricá Olímpica https://t.co/mvB4MJNhtn;
Thu Jul 28 03:01:00 +0000 2016;hftrader;RT @PanichiRaphael: 05. Cada vez pior o #Rio2016 ! A população de Angra enfurecida com a passagem da Tocha! O povo está enfurecido! https:/…;
Thu Jul 28 03:00:54 +0000 2016;fecamargo1;Ta chegando a hora!!! #rio2016 #olympics #olimpiada #olimpico #olympicgames #jogosolímpicos https://t.co/ZSjtwBR3x0;
Thu Jul 28 03:00:36 +0000 2016;MarnieMarques;#Rio2016 Lindas!!!! https://t.co/x5lJ21dEdS;
Thu Jul 28 03:00:36 +0000 2016;hilqcai;'Olimpíada é o maior desafio que a cidade já teve', diz diretor da CET-Rio https://t.co/ycRdWQMfDr;
Thu Jul 28 03:00:34 +0000 2016;GuRicci;@augustocangemi @rio2016_es Pfffff Arrrrmoso! No falta nada..;
Thu Jul 28 03:00:33 +0000 2016;mais_velho;RT @PanichiRaphael: 05. Cada vez pior o #Rio2016 ! A população de Angra enfurecida com a passagem da Tocha! O povo está enfurecido! https:/…;
Thu Jul 28 03:00:20 +0000 2016;BarbarellaPorra;Barbarella Porra já saiu! https://t.co/xqU88rSab1 #rio2016 #oglobo20digital;
Thu Jul 28 03:00:18 +0000 2016;PEPPECONSENTINI;#rio2016 @ Rio de Janeiro, Brazil https://t.co/H7HLPaY8mk;
Thu Jul 28 03:00:04 +0000 2016;faalaDani;Chegada dessa Tocha Olímpica!🔥 #Olympics #Rio2016 https://t.co/wY9eozmsqr;
Thu Jul 28 03:00:03 +0000 2016;msanjos;RT @folha: Seleção olímpica de futebol estudou mais do que a média nacional https://t.co/UZUsTMdxl0 #Rio2016 https://t.co/I6T1QgcXgY;
Thu Jul 28 03:00:03 +0000 2016;MARIAANANEVES;RT @PanichiRaphael: 05. Cada vez pior o #Rio2016 ! A população de Angra enfurecida com a passagem da Tocha! O povo está enfurecido! https:/…;
Thu Jul 28 02:59:59 +0000 2016;aragaonick;@CorreiosBR @Rio2016 até os obstáculos do hipismo chegam, mas minhas encomendas n 👌🏻👏🏻;
