/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun May 15 01:49:40 +0000 2016;v6fingo3y;RT @Nissan_Oficial: Hoje a Terezinha Guilhermina levou o ouro em mais uma prova: a condução da @ChamaOlimpica! #QuemSeAtreve #Rio2016
https…;
Sun May 15 01:45:06 +0000 2016;TubibaCPB;RT @parsonsandrew: Nossa multi-campeã @teteguilhermina com a @ChamaOlimpica. Treinando muito forte para arrebentar nos Jogos @Rio2016. http…;
Sun May 15 01:39:42 +0000 2016;mariadaniele21;RT @Nissan_Oficial: Hoje a Terezinha Guilhermina levou o ouro em mais uma prova: a condução da @ChamaOlimpica! #QuemSeAtreve #Rio2016
https…;
Sun May 15 01:39:37 +0000 2016;FutebolMundial5;Velocista discute com jornalista e vence os 100m no evento-teste:  https://t.co/rB9FnF5ylE;
Sun May 15 01:39:36 +0000 2016;FutebolEspiao;Velocista discute com jornalista e vence os 100m no evento-teste https://t.co/Eztzgm1UJ5;
Sun May 15 01:39:34 +0000 2016;PortalEsporte10;Velocista discute com jornalista e vence os 100m no evento-teste https://t.co/8gJVhXE0o1;
Sun May 15 01:39:34 +0000 2016;uberdam;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 01:39:31 +0000 2016;irafaelbarros;Velocista discute com jornalista e vence os 100m no evento-teste:  https://t.co/Ns8ITXjz8D;
Sun May 15 01:39:30 +0000 2016;BrunoJaquet03;Velocista discute com jornalista e vence os 100m no evento-teste:  https://t.co/WFTpi6FtnN;
