/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Tue May 10 02:36:01 +0000 2016;adri_remendes;RT @PassageiroRJ: Realidade do transporte público na #CidadeOlímpica.

#ImobilidadeRJ, largado do #Rio2016. 

Tue May 10 01:05:20 +0000 2016;RodriMaher;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;PedroSilveira7;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;NeetoMoraes96;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;VitorBatata3;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;MatheusGarzon;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;luc4s_andre;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;LuigiLouco999;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;lsouza73;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;leo_fernandes_9;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;imastargirl;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;ismahsantos;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;Fred_Metro2002;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;gabrielantony_;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;fantastico_scr;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;Edumaya7;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;biapessoaguiar;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;AtletiCorneta;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;_MFreitas9_;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;acfmarcelo;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;cesareboralli;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;BorjaFrancisco_;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;_lefiguereedo;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;_SiilvaSCFC;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;_guigoluis;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;_cassiagouvea;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:04:51 +0000 2016;ismacedo_;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:03:53 +0000 2016;ismacedo_;E amanhã tem ESGRIMA no Aquecimento Olímpico do @SiteLF 
Mais um esporte para ficarmos de perto no #Rio2016;
Tue May 10 01:02:49 +0000 2016;robervals1bev;RT @portalfab: Via Estadão: Uso de drones será restrito em 300 cidades -  https://t.co/fNIqgJ17uP #Rio2016 #ChamaOlimpica https://t.co/nYko…;
Tue May 10 01:02:37 +0000 2016;AndersonCunha40;Primeiro passo para seguir em frente: 
não corra atrás de quem não quer andar ao seu lado #TodosNaMafiaSdv #rio2016 #tochaolímpica #cocacola;
Tue May 10 00:57:31 +0000 2016;mauromferreira;#caracrachá - fui ver a #tochaolimpica em #montesclaros. 
#chamageral #rio2016 @ Praça Dos Jatobas https://t.co/SbWDzS3i6S;
Tue May 10 00:57:24 +0000 2016;ribeiroivanir;RT @Rio2016: O grande momento do Seu Chico da Onça com a @ChamaOlimpica e a pira em Montes Claros, encerrando o nosso #Dia7 (3/3) https://t…;
Tue May 10 00:55:11 +0000 2016;Rio2016HQ;E o #Dia7 da nossa cobertura da viagem da ChamaOlimpica #RumoAoRio fica por aqui. Confira mais detalhes em https://t.co/3DqeLv12XB.;
Tue May 10 00:51:45 +0000 2016;pires_alex;A espera foi longa, mas valeu a pena!!!

@sogipa #orgulhodesersogipa @Rio2016 https://t.co/77X18LqeBs;
Tue May 10 00:48:48 +0000 2016;pires_alex;Tô voltando! #Foco #Paralimpíada @Rio2016 #CaixaLoterias #BolsaPódio @sogipa @cpboficial #TiagoZagoQuiropraxista https://t.co/uTGYKP9Yg0;
Tue May 10 00:48:10 +0000 2016;Carlosan_lopes;RT @Rio2016: O grande momento do Seu Chico da Onça com a @ChamaOlimpica e a pira em Montes Claros, encerrando o nosso #Dia7 (3/3) https://t…;
Tue May 10 00:47:22 +0000 2016;andersonno;RT @fimdejogo: rubens, presidente da ferj, agradecendo ao prefeito e a rio2016 pela ajuda em relação ao maracanã;
Tue May 10 00:47:15 +0000 2016;ArajoDarcy;RT @Rio2016: Seu Chico da Onça trabalha numa cooperativa de extrativismo sustentável da favela e contou como foi participar (2/3) https://t…;
Tue May 10 00:47:09 +0000 2016;ArajoDarcy;RT @Rio2016: O grande momento do Seu Chico da Onça com a @ChamaOlimpica e a pira em Montes Claros, encerrando o nosso #Dia7 (3/3) https://t…;
Tue May 10 00:47:06 +0000 2016;ArajoDarcy;RT @Rio2016: E o #Dia7 da nossa cobertura da viagem da @ChamaOlimpica #RumoAoRio fica por aqui. Confira mais detalhes em https://t.co/2IhHe…;
Tue May 10 00:45:04 +0000 2016;BOGOTASINMIEDO;RT @Rio2016: O grande momento do Seu Chico da Onça com a @ChamaOlimpica e a pira em Montes Claros, encerrando o nosso #Dia7 (3/3) https://t…;
Tue May 10 00:45:04 +0000 2016;CDDUUberlandia;Thiago Vitor
 https://t.co/6DSmGd5uaA;
Tue May 10 00:44:47 +0000 2016;defast1;RT @Rio2016: E o #Dia7 da nossa cobertura da viagem da @ChamaOlimpica #RumoAoRio fica por aqui. Confira mais detalhes em https://t.co/2IhHe…;
Tue May 10 00:43:17 +0000 2016;Rio2016;E o #Dia7 da nossa cobertura da viagem da @ChamaOlimpica #RumoAoRio fica por aqui. Confira mais detalhes em https://t.co/2IhHeajAr0.;
Tue May 10 00:42:26 +0000 2016;Rio2016HQ;O grande momento do Seu Chico da Onça com a ChamaOlimpica e a pira em Montes Claros, encerrando o nosso #Dia7 (3/3) https://t.co/AUDvbXzsod;
Tue May 10 00:42:25 +0000 2016;Rio2016HQ;Seu Chico da Onça trabalha numa cooperativa de extrativismo sustentável da favela e contou como foi participar (2/… https://t.co/dTSiSrxymQ;
Tue May 10 00:41:50 +0000 2016;CristanoRonaldu;RT @Rio2016: Seu Chico da Onça trabalha numa cooperativa de extrativismo sustentável da favela e contou como foi participar (2/3) https://t…;
Tue May 10 00:41:49 +0000 2016;defast1;RT @Rio2016: O grande momento do Seu Chico da Onça com a @ChamaOlimpica e a pira em Montes Claros, encerrando o nosso #Dia7 (3/3) https://t…;
Tue May 10 00:41:05 +0000 2016;mendoncito_oX;RT @Rio2016: O grande momento do Seu Chico da Onça com a @ChamaOlimpica e a pira em Montes Claros, encerrando o nosso #Dia7 (3/3) https://t…;
Tue May 10 00:40:35 +0000 2016;Rio2016;O grande momento do Seu Chico da Onça com a @ChamaOlimpica e a pira em Montes Claros, encerrando o nosso #Dia7 (3/3) https://t.co/sUh6aWDhzj;
Tue May 10 00:40:32 +0000 2016;canteiro_hugo;@Rio2016 muito show, parabens;
Tue May 10 00:40:04 +0000 2016;canteiro_hugo;RT @Rio2016: Seu Chi/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
co da Onça trabalha numa cooperativa de extrativismo sustentável da favela e contou como foi participar (2/3) https://t…;
Tue May 10 00:39:16 +0000 2016;brunefera;RT @duardinaff: 2016+Maverick = single Top5 Hot100 da BB
Lançamento do álbum 7/27 em 5/27
Apresentação no BBMMA
Tour da 7/27 pela América
M…;
