/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu May 26 01:39:24 +0000 2016;yurisreis10;RT @ESPNagora: Pelas Quadras: @Rio2016 libera nova carga de entradas para tênis https://t.co/lx4yEgyEvZ https://t.co/OEkcoGUMfd;
Thu May 26 01:38:50 +0000 2016;ESPNagora;Pelas Quadras: @Rio2016 libera nova carga de entradas para tênis https://t.co/lx4yEgyEvZ https://t.co/OEkcoGUMfd;
Thu May 26 01:37:28 +0000 2016;CasaRonaldRJ;RT #AlmoçoCompleto É comer o #BigMac no dia 27 de agosto em todos os @McDonalds_BR do #Rio2016! ❤️🍔;
Thu May 26 01:33:26 +0000 2016;adrielef99;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Thu May 26 01:31:21 +0000 2016;jussaralimaena1;RT @danielamercury: Assistir no #Periscope: Show da Tocha Olímpica no Farol da Barra, em Salvador. #chamaolimpica #rio2016 https://t.co/8f0…;
Thu May 26 01:31:11 +0000 2016;jussaralimaena1;RT @danielamercury: Assistir no #Periscope: Daniela Mercury carregando a Tocha Olímpica, em Salvador. #ChamaOlimpica #Rio2016 #danielam… ht…;
Thu May 26 01:30:58 +0000 2016;jussaralimaena1;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 01:30:01 +0000 2016;EscVolei;Sidão retorna a Seleção Brasileira e deseja ir ao Rio2016. https://t.co/vLlqtP1xcK https://t.co/IsgWN274p8;
Thu May 26 01:28:57 +0000 2016;julianalisboa;@srguidias Procure no site da @Rio2016, eles estão com mais imagens dos circuitos!;
Thu May 26 01:19:07 +0000 2016;Aficionlinecom;#Streaming #Video

@palomaschmidt, velerista peruana #JuegosOlímpicos de #Río2016 
► https://t.co/LJH3JtF4un https://t.co/bpk4eRCyfk;
Thu May 26 01:12:47 +0000 2016;Repense_suavida;@manuuGOIS Já tentou nesse site OFICIAL ? https://t.co/PzmKzXrgKa;
Thu May 26 01:11:44 +0000 2016;SandraTracz75;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Thu May 26 01:11:08 +0000 2016;8ad62237947a46c;@VEJA @Rio2016 Esse é de verdade. Muito válido e bonito de se vê.;
