/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon May 16 02:02:30 +0000 2016;thikos;Estarei linda vaiando #Rio2016 #TemerGolpista #ForaTemer https://t.co/qIBURTukRV;
Mon May 16 02:02:24 +0000 2016;Regys_Silva;RT @SurtoOlimpico: .@feliciano_lopez anuncia que está fora do @Rio2016 https://t.co/covPTBGu3O https://t.co/lHFxLrd0Hc;
Mon May 16 02:01:55 +0000 2016;Imtamires;Passagem da Chama Olímpica em Juiz de fora! #@rio2016_es @timebrasil #OlympicGames #flame #Rio2016 https://t.co/wpo7WIpqNr;
Mon May 16 02:00:58 +0000 2016;AndreSousa020;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 02:00:43 +0000 2016;SurtoOlimpico;O Revezamento da Tocha do @Rio2016 entre os dias 6 e 11 https://t.co/iyRjpzX67l https://t.co/8gq4tfSaFn;
Mon May 16 02:00:26 +0000 2016;RayaneCS4;RT @thiagopereira: Experiência única !! #Rio2016 https://t.co/qq0DdAxkVw;
Mon May 16 01:59:54 +0000 2016;josialmeida16;RT @CocaCola_Br: A #TochaOlímpica#Rio2016 tá rodando o Br e hj vão ter shows Coca-Cola da @Ludmilla e do @jotaquest em BH! #IssoÉOuro https…;
Mon May 16 01:59:17 +0000 2016;SurtoOlimpico;A @iaaforg não vai excluir o atletismo do Quênia do @Rio2016 https://t.co/8kmbjtw7Gg https://t.co/sCQzbsEDAU;
Mon May 16 01:59:01 +0000 2016;wc_santos97;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 01:58:29 +0000 2016;SurtoOlimpico;Austrália lança uniformes dos esportes aquáticos para o @Rio2016 https://t.co/3a8ajlYc7O https://t.co/MT7KD5qPbI;
Mon May 16 01:55:08 +0000 2016;SampaPeriscopio;@alexandreank postou ""O Momento e agora é a hora e Já"

#TochaOlimpica #Rio2016 #ChamaOli… https://t.co/l7U55EIV8m https://t.co/xXmEYMJ2Sp;
Mon May 16 01:53:38 +0000 2016;SurtoOlimpico;.@feliciano_lopez anuncia que está fora do @Rio2016 https://t.co/covPTBGu3O https://t.co/lHFxLrd0Hc;
Mon May 16 01:50:43 +0000 2016;GKellyGBernardo;Homens armados assaltam grupo em trilha na Zona Sul https://t.co/m8wee8f3lZ #Rio2016 #SaoConrado;
Mon May 16 01:48:49 +0000 2016;DrShelldon;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 01:41:56 +0000 2016;silvanatoledo;RT @Rio2016: Figuraça de São João del Rei, José Caputo, o "Natureza", iniciou o #MountainBike na cidade. Olha ele animando geral! https://t…;
Mon May 16 01:37:16 +0000 2016;pulgapoffo;RT @thiagopereira: Experiência única !! #Rio2016 https://t.co/qq0DdAxkVw;
Mon May 16 01:23:59 +0000 2016;MosiahRodrigues;RT @thiagopereira: Experiência única !! #Rio2016 https://t.co/qq0DdAxkVw;
Mon May 16 01:20:20 +0000 2016;limaa_pablo;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 01:19:37 +0000 2016;crfjana;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 01:15:45 +0000 2016;GCividanis;@Rio2016  "Deixe o corpo bem levinho que vou te conduzido" ❤❤;
Mon May 16 01:15:21 +0000 2016;jvicente97;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 01:12:45 +0000 2016;CentralBaleoRR;RT @thiagopereira: Experiência única !! #Rio2016 https://t.co/qq0DdAxkVw;
Mon May 16 01:11:41 +0000 2016;oConsciente;ebcnarede: Veterana Cristiane tentará primeiro ouro nas Olímpíadas Rio2016. Ouça em https://t.co/bkHMXJiIYl (foto… https://t.co/jXCkkmJM86;
Mon May 16 01:11:34 +0000 2016;f_brenda;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 01:11:23 +0000 2016;peruibe_;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 01:10:27 +0000 2016;thiagopereira;Experiência única !! #Rio2016 https://t.co/qq0DdAxkVw;
Mon May 16 01:10:06 +0000 2016;crflele;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 01:09:38 +0000 2016;renancairesreal;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 01:09:26 +0000 2016;juliaa_Ca;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 01:08:50 +0000 2016;parsonsandrew;RT @Rio2016: Vitória, superação, reconhecimento - Alexandre Ank, medalhista de #TênisDeMesa Paralímpico sobre a #TochaOlímpica. https://t.c…;
Mon May 16 01:07:10 +0000 2016;mariaed89310187;RT @Rio2016: #ChamaOlimpica chega em Barbacena e é recebida com pétalas de flores! 😍🌷 https://t.co/SomwZIwV0F;
Mon May 16 01:07:07 +0000 2016;mariaed89310187;RT @Rio2016: Sassá, campeã do #vôlei em Pequim 2008, conduz a #TochaOlímpica em Barbacena. Emocionada, foi recebida com pétalas. https://t.…;/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning

Mon May 16 01:07:02 +0000 2016;mariaed89310187;RT @Rio2016: Muitas pétalas de flores na passagem da #TochaOlímpica e da @ChamaOlimpica em Barbacena. Lindo! https://t.co/Biu9XlUk9x;
Mon May 16 01:02:57 +0000 2016;JoaoGabriel1019;RT @Rio2016: Muitas pétalas de flores na passagem da #TochaOlímpica e da @ChamaOlimpica em Barbacena. Lindo! https://t.co/Biu9XlUk9x;
Mon May 16 01:02:51 +0000 2016;JoaoGabriel1019;RT @Rio2016: Sassá, campeã do #vôlei em Pequim 2008, conduz a #TochaOlímpica em Barbacena. Emocionada, foi recebida com pétalas. https://t.…;
Mon May 16 01:02:47 +0000 2016;JoaoGabriel1019;RT @Rio2016: #ChamaOlimpica chega em Barbacena e é recebida com pétalas de flores! 😍🌷 https://t.co/SomwZIwV0F;
Mon May 16 01:01:15 +0000 2016;nandoafonso;@ebcnarede @Rio2016 Tentará em outro lugar. NÃO HAVERÁ MAIS OLIMPÍADAS 2016 NO RIO DE JANEIRO! ATUALIZEM-SE COM O MUNDO!;
Mon May 16 01:00:12 +0000 2016;ebcnarede;Veterana Cristiane tentará primeiro ouro nas Olímpíadas @Rio2016. Ouça em https://t.co/a4QQCMO3rb (foto: CBF) https://t.co/mJk1fH6fMN;
Mon May 16 00:59:41 +0000 2016;flaviocharchar;#rio2016 #trampododia #olimpiadas #passagemdatocha @ Praça da Estação https://t.co/i4fZGveCwF;
Mon May 16 00:59:31 +0000 2016;verahl;RT @Lu_Buchud: Tem condutora + feliz? Lindo e emocionante a #SandraAnnemberg conduzindo a #TochaOlimpica em BH. #Rio #Rio2016 https://t.co/…;
Mon May 16 00:57:57 +0000 2016;karol__crf;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
