/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat May 28 01:29:26 +0000 2016;AlbertoSanttos;RT @SeuEsporteBR: As medalhas olímpicas e paralímpicas #Rio2016 só serão divulgadas no dia 16/06. Só em Sidney (2000) houve "atraso". https…;
Sat May 28 01:29:08 +0000 2016;AlbertoSanttos;RT @SeuEsporteBR: Mônica Santos é ouro e consegue vaga para #Rio2016 no Regional das Américas de Esgrima em Cadeira de Rodas #florete https…;
Sat May 28 01:29:03 +0000 2016;sportrecife1987;@GovRJ Tem que subir com os carros fumacês nos morros está em jogo também o @Rio2016 @PMERJ @PCERJ @policiafederal  @exercitooficial;
Sat May 28 01:29:03 +0000 2016;AlbertoSanttos;RT @SeuEsporteBR: Contagem Regressiva! Faltam 70 dias para os Jogos Olímpicos #Rio2016
#RumoAoRio #RoadToRio #RumboaRio #ChamaOlimpica http…;
Sat May 28 01:20:21 +0000 2016;ninaefogo;RT @thepatricao: A #TochaOlímpica tá perto PB,hoje em PE, dia 2/6 em CAMPINA GRANDE #ChamaOlimpica #ChamaNaPB @Rio2016 #SouCondutor https:/…;
Sat May 28 01:17:09 +0000 2016;sportrecife1987;@GovRJ Vamos intensificar o fumacê contra o mosquito Aedes aegypti estão ameaçando  retira o jogos olímpico @Rio2016  do Rio;
Sat May 28 01:13:20 +0000 2016;DavidBabilonia8;RT @g1: Rio 2016 terá distribuição recorde: 450 mil camisinhas e 175 mil sachês de lubrificante https://t.co/7nUvv1paPt https://t.co/8MtVcx…;
Sat May 28 01:09:03 +0000 2016;ReporterCult;#Rio2016 Esportes e baladas: https://t.co/r1s32NJNAj;
Sat May 28 01:06:07 +0000 2016;FlaClones;RT @aarrio2016: Início do pré olímpico de volei masculino no Japão: Irã x Austrália. Acho q o Irã vem e Austrália não. #rio2016;
Sat May 28 01:05:45 +0000 2016;AARFLAMENGO;RT @aarrio2016: Início do pré olímpico de volei masculino no Japão: Irã x Austrália. Acho q o Irã vem e Austrália não. #rio2016;
Sat May 28 01:02:54 +0000 2016;vishmigs;RT @Rio2016: Olha o fim de tarde que recebe a @ChamaOlimpica  em Paulo Afonso. Não é lindo? 😍❤😎👏 https://t.co/bnom1orA8a;
Sat May 28 01:02:15 +0000 2016;JLuizSorath;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Sat May 28 01:01:14 +0000 2016;aarrio2016;Início do pré olímpico de volei masculino no Japão: Irã x Austrália. Acho q o Irã vem e Austrália não. #rio2016;
Sat May 28 00:59:47 +0000 2016;rutralarama;Quanto tá valendo carregar a tocha olímpica em Belém? #Rio2016;
Sat May 28 00:54:15 +0000 2016;FullGymnastics;@patrick_algar mas não troco a Romênia por nada. Apesar delas terem desistido do #Rio2016 por causa do surto de Zika HAHAHAHHAHAHAHAHAHAHH;
Sat May 28 00:50:54 +0000 2016;RicardoRilley86;Tomara que a Roberta seja a 2º levantadora no Rio2016;
Sat May 28 00:50:39 +0000 2016;bozim4022;@VEJA @ChamaOlimpica @rio2016_es @Rio2016 @Rio2016_en quanto deve ser uma viagem pra marte?;
Sat May 28 00:48:57 +0000 2016;primaocoringao;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Sat May 28 00:47:59 +0000 2016;diegohfavero;RT @noticiascbj: ARRIBA, SARAH! Brasileira foi vice-campeã do #Judogdl2016, última competição antes do @Rio2016 ! #RoadtoRio https://t.co/k…;
Sat May 28 00:47:32 +0000 2016;italosantosBH;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Sat May 28 00:46:09 +0000 2016;amazon_press;★ FR REPORTAGE VILA AUTODROMO RIO2016 ★ PRODUTORA AMAZONPRESS: https://t.co/ClY4tjWK6Z via @YouTube;
Sat May 28 00:45:33 +0000 2016;Seba_Pereira;RT @noticiascbj: ARRIBA, SARAH! Brasileira foi vice-campeã do #Judogdl2016, última competição antes do @Rio2016 ! #RoadtoRio https://t.co/k…;
Sat May 28 00:44:21 +0000 2016;Seba_Pereira;RT @SeuEsporteBR: As medalhas olímpicas e paralímpicas #Rio2016 só serão divulgadas no dia 16/06. Só em Sidney (2000) houve "atraso". https…;
Sat May 28 00:43:52 +0000 2016;kikorsjudo;RT @joaoderly: #VaiKita Rumo aos Jogos @Rio2016!  https://t.co/S42tgpDglh;
Sat May 28 00:43:30 +0000 2016;joaoderly;#VaiKita Rumo aos Jogos @Rio2016!  https://t.co/S42tgpDglh;
