/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Fri May 06 03:12:04 +0000 2016| user = zidruxXx| text = 91 dias pras Olimpíadas
date = Fri May 06 00:09:15 +0000 2016| user = LeoChanDragon| text = Uma ciclovia a beira mar que não souberam projetar para aguentar ondas de ressaca ... Ora pois  Depois o português que é burro #Rio2016 🇵🇹🇵🇹
date = Fri May 06 00:08:05 +0000 2016| user = EstadaoEsporte| text = Revezamento da @ChamaOlimpica tem entusiasmo popular por onde passa - https://t.co/15ZSmdwVKn #Rio2016 https://t.co/ZXZ00G047V
date = Fri May 06 00:02:38 +0000 2016| user = zoreio| text = RT @EstadaoEsporte: Por @Rio2016, @thiagopereira e mais nove nadadores farão treinamento na altitude - https://t.co/zVLhdZSBsC https://t.co…
date = Fri May 06 00:02:27 +0000 2016| user = HoraAmerica| text = En Hora América Hortência Marcari promociona @rio2016_es  @casadobrasil_es RTVE.es https://t.co/QUbYTOTgDD vía @rtve https://t.co/YUuDRYph0h
date = Thu May 05 23:58:49 +0000 2016| user = defast1| text = RT @cbdvonline: CAMPEÃO! O Brasil vence a Lituânia por 11 x 7 e conquista o evento-teste do @Rio2016. Leomon marcou 9 gols e Parazinho 2.…
date = Thu May 05 23:56:04 +0000 2016| user = thiagopereira| text = RT @EstadaoEsporte: Por @Rio2016, @thiagopereira e mais nove nadadores farão treinamento na altitude - https://t.co/zVLhdZSBsC https://t.co…
date = Thu May 05 23:55:20 +0000 2016| user = silasvalverde| text = Para vocês que esqueceram do fiasco da Copa#ChamaOlimpica #Rio2016 #Olimpiadas2016 #pimentanocudosoutros https://t.co/10HQhMvWu9
date = Thu May 05 23:54:55 +0000 2016| user = MarciaAlves895| text = Eu ví a Tocha Olímpica! De pertinhooooo! #Rio2016 #emocionante https://t.co/SHMxsVcGeU
date = Thu May 05 23:50:12 +0000 2016| user = tvfloripa| text = RT @Women2Date: RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016  #photo #photooftheday  #RT  @channel100TV @tvfloripa https://t.co/Y…
date = Thu May 05 23:49:03 +0000 2016| user = DLongh| text = RT @cbdvonline: CAMPEÃO! O Brasil vence a Lituânia por 11 x 7 e conquista o evento-teste do @Rio2016. Leomon marcou 9 gols e Parazinho 2.…
date = Thu May 05 23:41:13 +0000 2016| user = ANDERSONGURGEL| text = RT @Rio2016: Estamos no 3º dia do revezamento da #TochaOlímpica e a #3Meses dos #JogosOlímpicos! https://t.co/U7beqmBa0P
date = Thu May 05 23:38:06 +0000 2016| user = cpboficial| text = RT @cbdvonline: CAMPEÃO! O Brasil vence a Lituânia por 11 x 7 e conquista o evento-teste do @Rio2016. Leomon marcou 9 gols e Parazinho 2.…
date = Thu May 05 23:30:30 +0000 2016| user = PilarFazito| text = RT @Brasil2016: Amanhã, a luta olímpica nacional busca últimas vagas para os Jogos #Rio2016: https://t.co/Y6k9dCzTgM @CBW_Oficial https://t…
date = Thu May 05 23:28:30 +0000 2016| user = donas_da_bola| text = RT @cbdvonline: CAMPEÃO! O Brasil vence a Lituânia por 11 x 7 e conquista o evento-teste do @Rio2016. Leomon marcou 9 gols e Parazinho 2.…
date = Thu May 05 23:26:30 +0000 2016| user = cbdvonline| text = CAMPEÃO! O Brasil vence a Lituânia por 11 x 7 e conquista o evento-teste do @Rio2016. Leomon marcou 9 gols e Parazinho 2. 🇧🇷😍💚💛🏆🏅
date = Thu May 05 23:22:33 +0000 2016| user = lavime_barbosa| text = Coca foi lindo,foi maravilhoso agora patrocinha nos aí @CocaCola_Br @Rio2016 https://t.co/P46Rkx4D3H
date = Thu May 05 23:20:09 +0000 2016| user = Brasil2016| text = Amanhã, a luta olímpica nacional busca últimas vagas para os Jogos #Rio2016: https://t.co/Y6k9dCzTgM @CBW_Oficial https://t.co/9xHjcZ0dW8
date = Thu May 05 23:20:04 +0000 2016| user = BrasilMasFutbol| text = RT @Rio2016: Em Goiânia, a #TochaOlímpica e a @ChamaOlimpica  experimentaram a sensação de andar de teleférico. https://t.co/zFJssmobrA
date = Thu May 05 23:07:40 +0000 2016| user = LIMABIBI| text = Veja como vai funcionar a entrada para o evento! https://t.co/sYI409LLf9
date = Thu May 05 23:07:02 +0000 2016| user = PiFitti| text = Estou muito orgulhoso em poder carregar a tocha dos Jogos Olímpicos Rio 2016! #Rio2016 #OlympicTorch #TochaOlimpica https://t.co/5AhJ9RZnGN
date = Thu May 05 23:06:04 +0000 2016| user = Rio2016| text = RT @cpboficial: .@PrefeituradeGyn tá tudo muito animado para a #chamaolimpica 👏👏👏 https://t.co/fcV94ucR9l
date = Thu May 05 23:02:35 +0000 2016| user = WiFilesApp| text = RT @windowsteambr: Chegou o APP oficial das Olimpíadas Rio 2016 na Windows Store https://t.co/ddJ2sd3lCa #Rio2016 #windowsphone https://t.c…
