/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Apr 15 03:08:21 +0000 2016;Jeandsd;@Rio2016 Qual será o horário da cerimônia de abertura ?;
Fri Apr 15 02:52:53 +0000 2016;JRRamosSJunior;Chega logo!
#Rio2016 #Rio2016Football;
Fri Apr 15 02:52:28 +0000 2016;rsimoesds;@fimdejogo @Rio2016 Dia 04, futebol masculino, jogo do Brasil não é no Maracanã. :(;
Fri Apr 15 02:52:15 +0000 2016;Sr_Creisson;RT @GKellyGBernardo: Abin: Brasil pode ser alvo do terror nos Jogos...Brazil may be terror target in the Games
 https://t.co/TMgudIeD9R #RI…;
Fri Apr 15 02:48:12 +0000 2016;KichofrvLuiz;RT @Rio2016: #FutebolRio2016 &gt; os grupos do #Futebol Masculino 👨🏻⚽ https://t.co/3IDjXyv7Kr;
Fri Apr 15 02:48:00 +0000 2016;ArobertoSa;RT @GKellyGBernardo: Abin: Brasil pode ser alvo do terror nos Jogos...Brazil may be terror target in the Games
 https://t.co/TMgudIeD9R #RI…;
Fri Apr 15 02:47:18 +0000 2016;GKellyGBernardo;Escolas da Zona Sul do Rio aderem ao movimento de ocupação https://t.co/CpWVI0d30F #RIO2016;
Fri Apr 15 02:46:37 +0000 2016;GKellyGBernardo;Abin: Brasil pode ser alvo do terror nos Jogos...Brazil may be terror target in the Games
 https://t.co/TMgudIeD9R #RIO2016;
Fri Apr 15 02:45:19 +0000 2016;proconstituicao;RT @DMangolt: FODASSE à comida, saúde e educação, importante é que vai ter #rio2016 povo #Chupa https://t.co/rE1Rd3Dz98;
Fri Apr 15 02:44:07 +0000 2016;DMangolt;FODASSE à comida, saúde e educação, importante é que vai ter #rio2016 povo #Chupa https://t.co/rE1Rd3Dz98;
Fri Apr 15 02:39:08 +0000 2016;angelinegtp90;RT @volunta_Rio2016: As partidas do futebol Olímpico em cada cidade:  https://t.co/oAFWFdSDFv;
Fri Apr 15 02:38:32 +0000 2016;GKellyGBernardo;Número de mortes por gripe H1N1 sobe de 7 para 12 em uma semana no estado do Rio https://t.co/mxCTRPKXW9 #RIO2016;
Fri Apr 15 02:32:39 +0000 2016;GKellyGBernardo;Promoter sofre ataque homofóbico no Centro do Rio - Rio - O Dia https://t.co/tQcAaq7Ggn via @jornalodia #RIO2016;
Fri Apr 15 02:31:53 +0000 2016;celomachado;Comprei ingressos para Brasil x Dinamarca e para Alemanha x México na fase de grupos das Olimpíadas. Futebol masculino. #Rio2016;
Fri Apr 15 02:30:18 +0000 2016;Trends__Brasil;Kkkkk RT@tiagocaciamani: Estado Islâmico ameaça o Brasil, o planalto se desespera pq só eles podem ser o alvo. #EIcontracorrupção #Rio2016;
Fri Apr 15 02:30:00 +0000 2016;annarbor1321;Para nadar no Rio-2016, Cesar Cielo tem última chance em seletiva no Maria Lenk: Competição começa nesta sexta... https://t.co/bEc24LfkyQ;
Fri Apr 15 02:29:40 +0000 2016;_gleiceb;RT @manaus_frases: Ainda tem ingressos para quase todas as partidas de futebol em Manaus a 50,00(inteira) e 25,00(meia) #rio2016;
Fri Apr 15 02:28:41 +0000 2016;GKellyGBernardo;Servidores grevistas lacraram portões da Uerj na manhã desta quinta-feira - Rio - O Dia https://t.co/qCuUrQKOey via @jornalodia #RIO2016;
Fri Apr 15 02:26:17 +0000 2016;GKellyGBernardo;Agência confirma que membro do Estado Islâmico disse, pelo Twitter, que Brasil é o próximo alvo
https://t.co/HYFdICOEwF #RIO2016;
Fri Apr 15 02:23:54 +0000 2016;romanoolimpico;RT @SurtoOlimpico: O Canadá anunciou a equipe de natação para o @Rio2016 https://t.co/hjK3UFeh2E https://t.co/MNVlgJZDOS;
Fri Apr 15 02:18:39 +0000 2016;gustavozago;Recebi outra carta convite pros jogos @Rio2016 substituindo a que me tiraram...agora eh no Riocentro!!;
Fri Apr 15 02:17:08 +0000 2016;vinicius_sj10;RT @sergiobrother1: A seleção olímpica só jogará no #Maracanã  se chegar a final. Na Copa2014, infelizmente,  ficamos esperando isso também…;
Fri Apr 15 02:13:16 +0000 2016;ilobur_news;#Rio2016 #ブラジル #五輪 Sapo Desporto
Golfista Vijay Singh abdica do Rio'2016 por receio do vírus Zika
Sapo Desporto
O … https://t.co/UTtl6T5NqD;
Fri Apr 15 02:07:04 +0000 2016;Regys_Silva;RT @SurtoOlimpico: O Canadá apresenta os uniformes para o @Rio2016 https://t.co/8dUNj0M2iO https://t.co/oHzXLIArfq;
Fri Apr 15 02:06:57 +0000 2016;Regys_Silva;RT @SurtoOlimpico: O Canadá anunciou a equipe de natação para o @Rio2016 https://t.co/hjK3UFeh2E https://t.co/MNVlgJZDOS;
Fri Apr 15 02:06:57 +0000 2016;sergiobrother1;A seleção olímpica só jogará no #Maracanã  se chegar a final. Na Copa2014, infelizmente,  ficamos esperando isso também.  #Rio2016;
Fri Apr 15 02:06:47 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Treinador da seleção brasileira diz que seria frustrante @CesarCielo ficar fora do @Rio2016 https://t.co/WTJmjUGaPc http…;
Fri Apr 15 02:06:36 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Começaram a ser vendidos mais ingressos para o @Rio2016 https://t.co/HfQO7in8I3 https://t.co/ol2nmzKUSK;
Fri Apr 15 02:06:16 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Destaques do Surto...Definidos os grupos do futebol no @Rio2016 https://t.co/n96BQu8t04 https://t.co/tlmt8cZiae;
Fri Apr 15 02:04:16 +0000 2016;oswaldo_moya;RT @gazetaesportiva: #Rio2016 - Futebol Masculino: GRUPOS DEFINIDOS! https://t.co/272olsm9Jl

Brasil finalmente vai conquistar o ouro? http…;
Fri Apr 15 02:03:46 +0000 2016;SurtoOlimpico;O Canadá apresenta os uniformes para o @Rio2016 https://t.co/8dUNj0M2iO https://t.co/oHzXLIArfq;
Fri Apr 15 02:02:41 +0000 2016;SurtoOlimpico;O Canadá anunciou a equipe de natação para o @Rio2016 https://t.co/hjK3UFeh2E https://t.co/MNVlgJZDOS;
Fri Apr 15 02:02:03 +0000 2016;JrWandeir;Retweeted Rio 2016 (@Rio2016):

#FutebolRio2016 Mário Andrada, diretor executivo de comunicação do Rio 2016, abre... https://t.co/anvDkp6Usq;
Fri Apr 15 02:01:33 +0000 2016;saulliberato;Ingresso mais barato da Rio-16 será na Arena Corinthians: R$ 20 no cimento https://t.co/psOLM63Uw6 via @UOLEsporte #Rio2016;
Fri Apr 15 02:00:45 +0000 2016;SurtoOlimpico;Treinador da seleção brasileira diz que seria frustrante @CesarCielo ficar fora do @Rio2016 https://t.co/WTJmjUGaPc https://t.co/OJomulmt9b;
Fri Apr 15 01:58:35 +0000 2016;SurtoOlimpico;Começaram a ser vendidos mais ingressos para o @Rio2016 https://t.co/HfQO7in8I3 https://t.co/ol2nmzKUSK;
Fri Apr 15 01:52:40 +0000 2016;papaiLidika;RT @manaus_frases: Ainda tem ingressos para quase todas as partidas de futebol em Manaus a 50,00(inteira) e 25,00(meia) #rio2016;
Fri Apr 15 01:52:29 +0000 2016;reenatachagas;RT @manaus_frases: Ainda tem ingressos para quase todas as partidas de futebol em Manaus a 50,00(inteira) e 25,00(meia) #rio2016;
Fri Apr 15 01:50:53 +0000 2016;SurtoOlimpico;Destaques do Surto...Definidos os grupos do futebol no @Rio2016 https://t.co/n96BQu8t04 https://t.co/tlmt8cZiae;
Fri Apr 15 01:49:28 +0000 2016;manaus_frases;Ainda tem ingressos para quase todas as partidas de futebol em Manaus a 50,00(inteira) e 25,00(meia) #rio2016;
Fri Apr 15 01:47:04 +0000 2016;WillkaWonka;RT @Rio2016: Bye, @KobeBryant! Rio 2016 vai sentir sua falta…
https://t.co/a4ZWKZVW4e https://t.co/oGnp5ZuZlH;
Fri Apr 15 01:45:59 +0000 2016;WillkaWonka;RT @ViniciusRio2016: Com os grupos de #futebol definidos para o @Rio2016, me conta aí! Quem vocês acham que vai para a final? 💭🙆😎 https://t…;
Fri Apr 15 01:45:58 +0000 2016;WillkaWonka;RT @Rio2016: #FutebolRio2016 &gt; 🇩🇪 #Alemanha e 🇲🇽 #México se encontram na primeira fase do masculino: https://t.co/inniud4LYB https://t.co/g…;
Fri Apr 15 01:45:47 +0000 2016;WillkaWonka;RT @Rio2016: #FutebolRio2016 &gt; Pela terceira vez, 🇦🇷#Argentina e 🇵🇹 #Portugal se enfrentarão no Rio: https://t.co/inniud4LYB https://t.co/a…;
Fri Apr 15 01:44:04 +0000 2016;deboritz;@blahblablaura https://t.co/untuhc9Dg2 feminino primeira fase em belo horizonte SE NÃO ME ENGANO;
Fri Apr 15 01:41:27 +0000 2016;yorvi27;RT @fifacom_es: #Río2016 - Sorteo Masculino
Gr.A: 🇧🇷🇿🇦🇮🇶🇩🇰
Gr.B: 🇸🇪🇨🇴🇳🇬🇯🇵
Gr.C: 🇫🇯🇰🇷🇲🇽🇩🇪
Gr.D: 🇭🇳🇩🇿🇵🇹🇦🇷 https://t.co/FghIji9vsV;
Fri Apr 15 01:40:25 +0000 2016;mattheuzandotv;Mintira o canal n vai acabar n agr é o inicio de uma era no canal espere segunda!!
#MunikNoCamarimGshow 
#Rio2016 
#CacauNoEncontro;
Fri Apr 15 01:38:43 +0000 2016;alejandromunoz;Tremenda #ErikaOlivera ira a sus quintos #JuegosOlimpicos #Rio2016 @MindepChile;
Fri Apr 15 01:37:58 +0000 2016;Tina_Bel;@COBImprensa @AqueceRio. O mundo conhece o @zanetti_arthur , o Brasil não. #Rio2016 https://t.co/oEJoEujjkq;
Fri Apr 15 01:37:18 +0000 2016;wwwill_;O fera da Romênia Marian Dragulescu 😍🏆👌🏽 #romania #artisticgymnastics #rio2016 #testevent #king… https://t.co/FFQmy2ZWOQ;
Fri Apr 15 01:28:59 +0000 2016;_Lavoisier;Governo confirma que Rio de Janeiro pode ser alvo do terror nos Jogos https://t.co/d6UldDm3sJ #Rio2016 #Rio2016Live #Olimpiadas2016;
Fri Apr 15 01:26:43 +0000 2016;Tina_Bel;@COBImprensa #Rio2016 Pq não a foto do @zanetti_arthur nosso campeão olimpico em lugar de um ginasta estrangeiro? https://t.co/0QbgcFZs6S;
Fri Apr 15 01:24:39 +0000 2016;millerharvey;Listo para #RIO2016 @ Parque Timiza https://t.co/xKbRMiiihn;
Fri Apr 15 01:23:59 +0000 2016;brenobarros;olha que maravilha. Serão os melhores Jogos da história. #Rio2016 https://t.co/qcY4Oo20C1;
Fri Apr 15 01:21:37 +0000 2016;HamiltonTrainer;@globoesportecom comitê olímpico se solidariza c os ginastas do #Rio2016 e já faz o chão verde para q os atletas entendam q cair é normal!!!;
Fri Apr 15 01:20:10 +0000 2016;Tina_Bel;@COBImprensa Temos um campeão olímpico na Ginastica e fazem a pagina de divulgação do #EventoTeste com a foto de estrangeiros. Pq? #Rio2016;
Fri Apr 15 01:17:11 +0000 2016;Seba_Pereira;RT @osolimpicos: AUS acaba de divulgar a sua equipe espetacular de natação pro #Rio2016 com 34 nomes;
Fri Apr 15 01:15:10 +0000 2016;fabianodesouza;Será que o EI vai atacar durante o #Rio2016? Se vc tem dúvidas leia isso. https://t.co/WeWSHLby6u;
Fri Apr 15 01:13:03 +0000 2016;luciapezzi;RT @Rio2016: Tudo pronto para começar! Acompanhe e dê sua opinião sobre os confrontos com a hashtag #FutebolRio2016 https://t.co/gUuxj0y27X;
Fri Apr 15 01:10:50 +0000 2016;Brasil_2016News;As partidas do futebol Olímpico em cada cidade:  https://t.co/HBPjufdppF;
Fri Apr 15 01:10:49 +0000 2016;Brasil_2016News;Emoção e homenagens marcam despedida do bicampeão Olímpico Kobe Bryant na NBA:  https://t.co/F6TqWGClFG;
Fri Apr 15 01:09:49 +0000 2016;ilobur_news;#Rio2016 #ブラジル #五輪 A Tarde On Line
Rio 2016 inaugura Centro de Treinamento de Voluntários
Portal Brasil
O Comitê R… https://t.co/FdDrSNPLKY;
Fri Apr 15 01:09:49 +0000 2016;ilobur_news;#Rio2016 #ブラジル #五輪 EBC
Sorteio do futebol nas Olimpíadas; assista ao vivo
EBC
Nesta quinta-feira (14), as seleções… https://t.co/6PRXJuYBqL;
Fri Apr 15 01:08:39 +0000 2016;SaoJose_E_Rio16;RT @ViniciusRio2016: Com os grupos de #futebol definidos para o @Rio2016, me conta aí! Quem vocês acham que vai para a final? 💭🙆😎 https://t…;
Fri Apr 15 01:07:52 +0000 2016;Seba_Pereira;RT @ViniciusRio2016: Com os grupos de #futebol definidos para o @Rio2016, me conta aí! Quem vocês acham que vai para a final? 💭🙆😎 https://t…;
Fri Apr 15 01:07:42 +0000 2016;Seba_Pereira;RT @JogosOlimpicos: Em uma semana, a chama olímpica voltará a arder! 🔥 #RoadToRio #Rio2016
https://t.co/RTUZA6sJTb;
Fri Apr 15 01:07:37 +0000 2016;Seba_Pereira;RT @osolimpicos: Definido o grupo do BRA no futebol Fem no #Rio2016: CHN🇨🇳, SWE🇸🇪 e RSA🇿🇦. BRA estreia contra a CHN dia 3/8 às 16:00 no Eng…;
Fri Apr 15 01:07:34 +0000 2016;Olajuca;RT @alvarojosetv: Amanhã estarei no @bandjogoaberto  com @RenataBFan  falando de #Rio2016 .Semana passada foi assim .
  https://t.co/GnF4uZ…;
Fri Apr 15 01:06:06 +0000 2016;TouchOfAlexis;RT @Rio2016: #FutebolRio2016 &gt; os grupos do #Futebol Masculino 👨🏻⚽ https://t.co/3IDjXyv7Kr;
Fri Apr 15 01:05:52 +0000 2016;MGABRIELLI;RT @Rio2016: #FutebolRio2016 &gt; Pela terceira vez, 🇦🇷#Argentina e 🇵🇹 #Portugal se enfrentarão no Rio: https://t.co/inniud4LYB https://t.co/a…;
Fri Apr 15 01:05:35 +0000 2016;MGABRIELLI;RT @fimdejogo: testdrive agora. comprei um ingresso para futebol masculino no maracanã. já tinha minha conta no site de ingressos da @Rio20…;
Fri Apr 15 01:04:26 +0000 2016;bandjogoaberto;RT @alvarojosetv: Amanhã estarei no @bandjogoaberto  com @RenataBFan  falando de #Rio2016 .Semana passada foi assim .
  https://t.co/GnF4uZ…;
Fri Apr 15 01:04:00 +0000 2016;alvarojosetv;Amanhã estarei no @bandjogoaberto  com @RenataBFan  falando de #Rio2016 .Semana passada foi assim .
  https://t.co/GnF4uZ8RGa;
Fri Apr 15 01:03:06 +0000 2016;MrTortas;RT @fifacom_es: #Río2016 - Sorteo Masculino
Gr.A: 🇧🇷🇿🇦🇮🇶🇩🇰
Gr.B: 🇸🇪🇨🇴🇳🇬🇯🇵
Gr.C: 🇫🇯🇰🇷🇲🇽🇩🇪
Gr.D: 🇭🇳🇩🇿🇵🇹🇦🇷 https://t.co/FghIji9vsV;
Fri Apr 15 01:01:07 +0000 2016;tadeusajunior;Hoje a #Rio2016 libera um novo lote com mais de 1 milhão de ingressos! Vamos aproveitar essa... https://t.co/cgzAnTQw1q via @luizatrajano;
Fri Apr 15 01:00:26 +0000 2016;volunta_Rio2016;Emoção e homenagens marcam despedida do bicampeão Olímpico Kobe Bryant na NBA:  https://t.co/SGSTYFdKcZ;
Fri Apr 15 01:00:26 +0000 2016;volunta_Rio2016;#FutebolRio2016: a repercussão do sorteio dos grupos do torneio Olímpico nas redes sociais:  https://t.co/ojDmwHq8vV;
Fri Apr 15 01:00:26 +0000 2016;volunta_Rio2016;As partidas do futebol Olímpico em cada cidade:  https://t.co/oAFWFdSDFv;
Fri Apr 15 01:00:25 +0000 2016;volunta_Rio2016;Pela terceira vez, Argentina e Portugal se enfrentarão no Rio de Janeiro:  https://t.co/sdMtDYWkc0;
Fri Apr 15 01:00:25 +0000 2016;volunta_Rio2016;Alemanha e México se encontram na primeira fase no torneio masculino de futebol:  https://t.co/dGcDBUVHQt;
Fri Apr 15 00:57:08 +0000 2016;MiltonFMelendez;RT @fifacom_es: #Río2016 - Sorteo Masculino
Gr.A: 🇧🇷🇿🇦🇮🇶🇩🇰
Gr.B: 🇸🇪🇨🇴🇳🇬🇯🇵
Gr.C: 🇫🇯🇰🇷🇲🇽🇩🇪
Gr.D: 🇭🇳🇩🇿🇵🇹🇦🇷 https://t.co/FghIji9vsV;
Fri Apr 15 00:56:11 +0000 2016;ProSyria2;RT @Rio2016: Bye, @KobeBryant! Rio 2016 vai sentir sua falta…
https://t.co/a4ZWKZVW4e https://t.co/oGnp5ZuZlH;
Fri Apr 15 00:54:28 +0000 2016;Daniel_boycrazy;Ai o bicho pega!!! #Rio2016 https://t.co/NtzRSqS2TC;
Fri Apr 15 00:51:09 +0000 2016;mateustsc;RT @ViniciusRio2016: Com os grupos de #futebol definidos para o @Rio2016, me conta aí! Quem vocês acham que vai para a final? 💭🙆😎 https://t…;
Fri Apr 15 00:48:46 +0000 2016;HenriqueCereja;Ta chegandoo! https://t.co/4eGG16sU1m;
Fri Apr 15 00:48:29 +0000 2016;militobta;@Rio2016 @FIFAcom @FIFAWWC @CBF_Futebol @timebrasil @JogosOlimpicos 

Por favor permita aos estrangeiros comprar os ingressos por seu site.;
Fri Apr 15 00:46:54 +0000 2016;Jorginhozv;RT @ViniciusRio2016: Com os grupos de #futebol definidos para o @Rio2016, me conta aí! Quem vocês acham que vai para a final? 💭🙆😎 https://t…;
Fri Apr 15 00:46:50 +0000 2016;rsimoesds;@fimdejogo @Rio2016 Jogo do Brasil?;
Fri Apr 15 00:46:47 +0000 2016;Jorginhozv;@ViniciusRio2016 @Rio2016 @JogosOlimpicos @timebrasil @CBF_Futebol @FIFAcom @FIFAWWC futebol masculino a Colômbia. Esse time é muito bom.;
Fri Apr 15 00:46:43 +0000 2016;militobta;@Rio2016 @FIFAcom @FIFAWWC @CBF_Futebol @timebrasil @JogosOlimpicos

Boa noite: Nos aquí na Col�/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
�mbia precisamos de ingressos para futebol.;
Fri Apr 15 00:46:39 +0000 2016;RomuloimoveisRJ;Em visita ao Rio, COI diz que 98% das obras para os Jogos estão prontas #G1 https://t.co/jkT4LNMt0p
#olimpíadas2016 #errejota;
Fri Apr 15 00:46:26 +0000 2016;jucilenesilva75;RT @SamsungMobileBR: Qual barreira vc quer desafiar? Acesse https://t.co/fMG3r6ryk9 e compartilhe c/ seus amigos. #BrasilDesafieBarreiras h…;
Fri Apr 15 00:45:41 +0000 2016;azvdo;#Rio2016 #riocidadeolimpica
ingênuo qm achou seria resolvido
"Comitê Olímpico está preocupado c segurança do evento"
https://t.co/GXZedFLBkm;
Fri Apr 15 00:45:09 +0000 2016;ss1811965l;RT @SamsungMobileBR: Qual barreira vc quer desafiar? Acesse https://t.co/fMG3r6ryk9 e compartilhe c/ seus amigos. #BrasilDesafieBarreiras h…;
Fri Apr 15 00:41:54 +0000 2016;MichelRegamey;Notícias brasileiras do Michel já saiu! https://t.co/SCvyjayfA6 Graças a @Rio2016 @petrobras;
Fri Apr 15 00:41:39 +0000 2016;carlosmorenobe2;RT @ViniciusRio2016: Com os grupos de #futebol definidos para o @Rio2016, me conta aí! Quem vocês acham que vai para a final? 💭🙆😎 https://t…;
Fri Apr 15 00:36:41 +0000 2016;ilobur_news;#Rio2016 #ブラジル #五輪 Christian Post em Português
Olimpíadas Rio 2016: tabela do futebol masculino, após o sorteio ..… https://t.co/IW58jF0uj7;
Fri Apr 15 00:33:03 +0000 2016;ViniciusRio2016;Com os grupos de #futebol definidos para o @Rio2016, me conta aí! Quem vocês acham que vai para a final? 💭🙆😎 https://t.co/UKEPzlor8Q;
Fri Apr 15 00:32:43 +0000 2016;fimdejogo;testdrive agora. comprei um ingresso para futebol masculino no maracanã. já tinha minha conta no site de ingressos da @Rio2016. funcionou;
Fri Apr 15 00:25:09 +0000 2016;bearealalien;vcs sabem neh que rio2016 neh então;
Fri Apr 15 00:22:32 +0000 2016;jorgemeb;RT @Rio2016: #FutebolRio2016 &gt; os grupos do #Futebol Feminino 👩🏻⚽ https://t.co/8vpvhVrNpg;
Fri Apr 15 00:22:25 +0000 2016;jorgemeb;RT @Rio2016: #FutebolRio2016 &gt; os grupos do #Futebol Masculino 👨🏻⚽ https://t.co/3IDjXyv7Kr;
Fri Apr 15 00:15:06 +0000 2016;SamsungMobileBR;Qual barreira vc quer desafiar? Acesse https://t.co/fMG3r6ryk9 e compartilhe c/ seus amigos. #BrasilDesafieBarreiras https://t.co/cB8OkjfBhT;
Fri Apr 15 00:05:51 +0000 2016;LFZampronha;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Fri Apr 15 00:05:11 +0000 2016;mijailtario;Beaches in Río de Janeiro are amazing. #beachesbecrazy #riodejaneiro #rio2016 #buzios #ferradurabeach #ferradura https://t.co/CZpnscp2Rs;
Fri Apr 15 00:03:55 +0000 2016;_Lavoisier;Epidemias se alastram e mais duas mortes por chicungunha e quatro por dengue ocorrem no Rio de Janeiro https://t.co/lkCe4bAFGn #Rio2016;
Fri Apr 15 00:03:49 +0000 2016;ilobur_news;#Rio2016 #ブラジル #五輪 A Tarde On Line
Voluntários da Rio-2016 começam treinamento
A Tarde On Line
De acordo com o dir… https://t.co/YgfTYyuVkc;
Fri Apr 15 00:03:49 +0000 2016;ilobur_news;#Rio2016 #ブラジル #五輪 A Tarde On Line
Rio 2016: Brasil enfrenta Dinamarca na Fonte; veja grupos
A Tarde On Line
O cam… https://t.co/7frwkOWvWw;
Fri Apr 15 00:02:28 +0000 2016;El_Siincal;RT @Rio2016: #FutebolRio2016 &gt; os grupos do #Futebol Feminino 👩🏻⚽ https://t.co/8vpvhVrNpg;
Fri Apr 15 00:02:09 +0000 2016;El_Siincal;RT @Rio2016: #FutebolRio2016 &gt; os grupos do #Futebol Masculino 👨🏻⚽ https://t.co/3IDjXyv7Kr;
Thu Apr 14 23:59:14 +0000 2016;titoriccobelli;RT @Rio2016: #FutebolRio2016 &gt; os grupos do #Futebol Masculino 👨🏻⚽ https://t.co/3IDjXyv7Kr;
Thu Apr 14 23:56:23 +0000 2016;football_bot_PT;Argentina considera "favorável" grupo do torneio de futebol: O vice-presidente da Associaçã... https://t.co/GTUSH7UJQT #football #futebol;
Thu Apr 14 23:55:39 +0000 2016;channel100TV;RT @TheNewYokohamar: “@tvbombinhas: Welcome Rio de Janeiro #Brazil #Rio2016 #Olimpia2016 #RT #F4F @tvfloripa …… https://t.co/3wP56e8Yce”;
Thu Apr 14 23:54:38 +0000 2016;Conii1723;Mascota de #Rio2016 :D 😁😁😁😁😁 https://t.co/ylEJK56EDP;
Thu Apr 14 23:51:46 +0000 2016;talanarede;TÁ LÁ, Abin confirma ameaça de terrorismo nas Olimpíadas #Rio2016 | https://t.co/UcDfPNkYAK | #FBI @agenciapf @FBI https://t.co/MUHd6u2nxT;
Thu Apr 14 23:50:42 +0000 2016;MireleBento;RT @SeuEsporteBR: ACREDITAMOS!!! #Rio2016 https://t.co/Q3hZb4BSsT;
Thu Apr 14 23:50:40 +0000 2016;Math_Lima_;Aeeee vai ter seleção brasileira feminina de futebol em Manaus 😃 Já valeu ter comprado os ingressos #Rio2016;
Thu Apr 14 23:49:22 +0000 2016;_Lavoisier;Tiroteio assusta moradores de bairro mais nobre do Rio de Janeiro https://t.co/rpkFJ5vCZT #Rio2016 #Rio2016Live #Rio2016xFOX;
Thu Apr 14 23:46:13 +0000 2016;ROBERTA60772874;RT @Brasil2016: Técnico da Seleção Masculina de handebol analisa equipes garantidas nos Jogos #Rio2016: https://t.co/hzG5wCQvXN https://t.c…;
Thu Apr 14 23:45:46 +0000 2016;fermaceutico;Eu to rindo (pq é cômico) as reportagens na internet sobre o estado islamico ameaçando o brasil. Todas acabam com a mesma frase: rio2016 AFF;
Thu Apr 14 23:41:35 +0000 2016;somegreendayfan;RT @Rio2016: #FutebolRio2016 &gt; Pela terceira vez, 🇦🇷#Argentina e 🇵🇹 #Portugal se enfrentarão no Rio: https://t.co/inniud4LYB https://t.co/a…;
Thu Apr 14 23:40:12 +0000 2016;amaaral_i;RT @A_Corinthians: Se o Brasil for o primeiro do grupo A, jogará as quartas de final na #ArenaCorinthians no dia 13 de agosto. #Rio2016;
Thu Apr 14 23:40:03 +0000 2016;joycecruz_sccp;RT @A_Corinthians: A #ArenaCorinthians conheceu hoje as primeiras seleções que receberá no @Rio2016! #Rio2016 https://t.co/ye5ijqHzEt;
Thu Apr 14 23:37:58 +0000 2016;isaacmadeiro;RT @Rio2016: Bye, @KobeBryant! Rio 2016 vai sentir sua falta…
https://t.co/a4ZWKZVW4e https://t.co/oGnp5ZuZlH;
Thu Apr 14 23:33:29 +0000 2016;ArtesanatoGesso;São Jorge 50cm
(21)2445-1929
#sãojorge #jorgeguerreiro #salvejorge
#artesacra #riodejaneiro #rio2016 #errejota #rio https://t.co/HTQ27opFxs;
