/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon Apr 18 02:00:41 +0000 2016;SeuEsporteBR;CAMPEÃS!!! #Rio2016!! https://t.co/GNc6BUIlTU;
Mon Apr 18 01:59:18 +0000 2016;SurtoOlimpico;A Linha 4 terá funcionamento restrito durante o @Rio2016 https://t.co/V5CmcDlbgV https://t.co/nGOP7A9CTx;
Mon Apr 18 01:59:08 +0000 2016;Seba_Pereira;RT @SurtoOlimpico: A Austrália define a equipe de Natação para o @Rio2016 https://t.co/PzXOfv3DRw https://t.co/d6jcWbxCJz;
Mon Apr 18 01:58:50 +0000 2016;SurtoOlimpico;A Austrália define a equipe de Natação para o @Rio2016 https://t.co/PzXOfv3DRw https://t.co/d6jcWbxCJz;
Mon Apr 18 01:58:15 +0000 2016;DoendeVerde13;RT @ViniciusRio2016: Com os grupos de #futebol definidos para o @Rio2016, me conta aí! Quem vocês acham que vai para a final? 💭🙆😎 https://t…;
Mon Apr 18 01:56:14 +0000 2016;mellynareis;Vai ter Flavinha Saraiva no individual do #Rio2016!!!!! Ao menos uma notícia boa nesse domingo! &lt;3 &lt;3 &lt;3 https://t.co/OWwjeJjabZ;
Mon Apr 18 01:56:00 +0000 2016;BarneyBrian;RT @JogosOlimpicos: Parabéns, meninas! Nos vemos no @rio2016! https://t.co/BIMZY3mVbU;
Mon Apr 18 01:55:55 +0000 2016;SurtoOlimpico;o dia 2 do evento-teste do Tiro Esportivo para o @Rio2016 https://t.co/X1HLuP85a1 https://t.co/JJGccF7wtc;
Mon Apr 18 01:52:55 +0000 2016;pedrogeromeI;RT @SeuEsporteBR: Primeira Olimpíada com 16 anos. Senhoras e Senhores, Flavinha Saraiva. Pequena Gigante! #Rio2016 https://t.co/Mm6VttI5To;
Mon Apr 18 01:52:30 +0000 2016;EstudantedoBras;Saudações Sra do @FBI. 
