/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Fri Apr 29 00:20:36 +0000 2016| user = zidruxXx| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Fri Apr 29 00:16:25 +0000 2016| user = USAemPortugues| text = RT @EmbaixadaEUA: Faltam 99 dias p/ #Rio2016! Vc já conheceu nossa campanha #USinRio? Dê uma olhada aqui: https://t.co/djN9wM08Kp #TeamUSA
date = Fri Apr 29 00:12:42 +0000 2016| user = duarteantares| text = RT @portalfab: Esquadrão Harpia treina defesa aérea para #Rio2016 em exercício com metralhadoras Minigun. https://t.co/jMGnnVRWSY https://t…
date = Fri Apr 29 00:10:05 +0000 2016| user = Knaya| text = Levando esse negócio de shadowing a sério! #Spfw #rio2016  https://t.co/Se6onTlMrm
date = Fri Apr 29 00:08:25 +0000 2016| user = heresminho| text = RT @justcallmevip: "Coreia do Sul divulga uniformes à prova do vírus da zika para a Rio2016" não vão morrer de zica vão morrer de calor htt…
date = Fri Apr 29 00:08:02 +0000 2016| user = DiariodeBordo3| text = RT @portalfab: #Rio2016 Exercício aprimora interação entre órgãos que atuam em casos de DQBRN. Veja: https://t.co/gZ9Bimixak https://t.co/v…
date = Fri Apr 29 00:06:57 +0000 2016| user = CastroGabryel| text = Faltam 99 dias para #Rio2016! #SomosTodosOlímpicos
date = Fri Apr 29 00:04:51 +0000 2016| user = KuchuminskiFran| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Fri Apr 29 00:01:48 +0000 2016| user = Giba_Wataramy| text = RT @anistiabrasil: Autoridades continuam tratando manifestantes como inimigos públicos. https://t.co/0oRYdkytYl #Faltam100dias #Rio2016 htt…
date = Fri Apr 29 00:01:15 +0000 2016| user = Ismenia_Nunes| text = RT @portalfab: #Rio2016 Exercício aprimora interação entre órgãos que atuam em casos de DQBRN. Veja: https://t.co/gZ9Bimixak https://t.co/v…
date = Fri Apr 29 00:00:39 +0000 2016| user = EmbaixadaEUA| text = Faltam 99 dias p/ #Rio2016! Vc já conheceu nossa campanha #USinRio? Dê uma olhada aqui: https://t.co/djN9wM08Kp #TeamUSA
date = Fri Apr 29 00:00:18 +0000 2016| user = portalfab| text = #Rio2016 Exercício aprimora interação entre órgãos que atuam em casos de DQBRN. Veja: https://t.co/gZ9Bimixak https://t.co/vSDFLbgYrE
date = Thu Apr 28 23:59:38 +0000 2016| user = JoseAnselmo96| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:59:33 +0000 2016| user = Silviasborba| text = RT @Brasil2016: 🏊🏾 O Felipe Rocha, do @Flamengo, gostou de poder jogar na piscina do #Rio2016, e já faz planos pro futuro no polo https://t…
date = Thu Apr 28 23:56:33 +0000 2016| user = AlvaroGrey1| text = A ciclovia da morte tem de ser demolida https://t.co/Ew5SAi3BJT via: @o_antagonista @Rio2016 @renataloprete
date = Thu Apr 28 23:56:30 +0000 2016| user = AlvesPauloP| text = RT @SeuEsporteBR: Sokolova reafirma que não defenderá a Rússia nas Olimpíadas #Rio2016. A ponteira alega cansaço e questões de saúde. https…
date = Thu Apr 28 23:55:55 +0000 2016| user = Junior_Ulisses| text = RT @SurtoOlimpico: Eis a bola oficial do torneio Olímpico de Handebol no @Rio2016 https://t.co/usZyW58pOe
date = Thu Apr 28/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
 23:55:50 +0000 2016| user = Junior_Ulisses| text = @SurtoOlimpico @doug_hand @Rio2016 QUERO UMAAAAA *-*
date = Thu Apr 28 23:53:03 +0000 2016| user = edivaldods| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:48:46 +0000 2016| user = AlbertoSanttos| text = RT @SeuEsporteBR: Com medo do zika vírus, Coreia do Sul lança uniforme de mangas e pernas compridas e com repelente para #Rio2016 https://t…
date = Thu Apr 28 23:48:26 +0000 2016| user = AlbertoSanttos| text = RT @SeuEsporteBR: Sokolova reafirma que não defenderá a Rússia nas Olimpíadas #Rio2016. A ponteira alega cansaço e questões de saúde. https…
date = Thu Apr 28 23:48:08 +0000 2016| user = paulomaia_rn| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:48:06 +0000 2016| user = AlbertoSanttos| text = RT @SeuEsporteBR: 👨 Kobe Bryant
👨 César Cielo
👨 Tiger Woods
👨 Emanuel
👩 Sharapova

Alguns dos grandes nomes que n estarão no #Rio2016. http…
date = Thu Apr 28 23:47:37 +0000 2016| user = AlbertoSanttos| text = RT @SeuEsporteBR: Contagem regressiva:

#99Dias
#Rio2016 https://t.co/QJiFQjbtId
date = Thu Apr 28 23:46:40 +0000 2016| user = Rio2016HQ| text = O mundo se vestiu de verde e amarelo pelos 100 dias para os JogosOlimpicos Você viu? https://t.co/CdtVjHHVH7 https://t.co/V6trzuQNhh
date = Thu Apr 28 23:46:16 +0000 2016| user = pati_INMUNE| text = Christ the Redeemer Rio2016 Corcovado " O Brazil efeito por nos" https://t.co/5ZGNFaYQJr
date = Thu Apr 28 23:45:50 +0000 2016| user = PadronFerney| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:44:34 +0000 2016| user = FcDosGaaludos| text = RT @AuthenticGames: Eu e o @BaixaMemoria estamos indo para Suíça acompanhar a chama olímpica !! #Faltam100Dias #ChamaOlimpica #Rio2016 http…
date = Thu Apr 28 23:43:21 +0000 2016| user = rvvveloso| text = @Sard4um @Rio2016 @JogosOlimpicos não sei. Te aviso
date = Thu Apr 28 23:42:23 +0000 2016| user = emersonbraz| text = Se vestiu porque o povo brasileiro pagou https://t.co/4NSHxC8vLN
date = Thu Apr 28 23:41:55 +0000 2016| user = Sard4um| text = @rvvveloso @Rio2016 @JogosOlimpicos o tostes vai assistir?
date = Thu Apr 28 23:41:34 +0000 2016| user = alexcazzo| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:41:16 +0000 2016| user = Ju5854262| text = O mundo se veste de verde e amarelo pelos 100 dias para os Jogos Olímpicos Rio 2016 🇧🇷
https://t.co/2F0ecXBRCp
date = Thu Apr 28 23:41:00 +0000 2016| user = rvvveloso| text = @Sard4um @Rio2016 @JogosOlimpicos bocha reservada
date = Thu Apr 28 23:40:30 +0000 2016| user = doug_hand| text = RT @SurtoOlimpico: Eis a bola oficial do torneio Olímpico de Handebol no @Rio2016 https://t.co/usZyW58pOe
date = Thu Apr 28 23:40:23 +0000 2016| user = Sard4um| text = @rvvveloso @Rio2016 @JogosOlimpicos dnd, estou esperando aquele ingresso
date = Thu Apr 28 23:40:19 +0000 2016| user = Jeovani_Gui| text = RT @anistiabrasil: Cineasta debate racismo e violência policial na @Amnesty_Suisse antes dos jogos #Rio2016: https://t.co/pWs9MDkRYl https:…
date = Thu Apr 28 23:40:14 +0000 2016| user = MAGUComunica| text = O mundo se veste de verde e amarelo pelos 100 dias para os Jogos Olímpicos Rio 2016 https://t.co/IpSmYkQz77
date = Thu Apr 28 23:39:50 +0000 2016| user = GiselegaBR| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:38:43 +0000 2016| user = cidade_maravilh| text = RT @izavarezzi: Nossa tragédia anunciada. #riocidadeolímpica #olimpíadas #rio2016 #errejota #olimpíadas2016 #riodejaneiro https://t.co/4Ihy…
date = Thu Apr 28 23:38:34 +0000 2016| user = Seba_Pereira| text = RT @minesporte: #Rio2016 abriu HOJE novo lote de ingressos para vôlei e vôlei de praia. https://t.co/lQUN1rAndY via @Brasil2016 https://t.c…
date = Thu Apr 28 23:38:32 +0000 2016| user = yasmin_thayna| text = RT @anistiabrasil: Cineasta debate racismo e violência policial na @Amnesty_Suisse antes dos jogos #Rio2016: https://t.co/pWs9MDkRYl https:…
date = Thu Apr 28 23:37:53 +0000 2016| user = agstmoretti| text = sábado vou assistir um jogo de handboll pela Rio2016, vou ver se a Aline quer ir
