/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Jun 29 03:08:14 +0000 2016;JBarbosa2014;WELCOME TO OLYMPIC GAMES / RIO 2016 @Olympics!

(Eu amo o Rio! É um absurdo o que fazem com essa cidade!)

#RIO2016 https://t.co/rHamQruZqG;
Wed Jun 29 02:06:01 +0000 2016;kamarandola;Apresentação, palco das olimpíadas! #tochaolimpica #olimpiadas #issoeouro #rio2016 @ Londrina https://t.co/fFIsySTze3;
Wed Jun 29 02:04:53 +0000 2016;adiosmih;RT @Youtuberss_News: • Fotos do @t3ddyyyyy e @FeCastanhari carregando a tocha olímpica! #Rio2016 https://t.co/7nz6VKdVxI;
Wed Jun 29 02:03:47 +0000 2016;Gi_paneque;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 02:03:32 +0000 2016;TelmoBragaa;RT @alexpussieldi: Mais um campeão olímpico de fora do #Rio2016 #SwimTrials16;
Wed Jun 29 02:03:30 +0000 2016;knowcanary;RT @t3ddyyyyy: AAAEEEEEEEEEEWWUWHHWEUESYU💙✨ ganhei outra chance de conduzir a tocha!!!! AMANHÃ EM LONDRINAAAAA 💙💙

ai q emossaun 🙌🏼 https:/…;
Wed Jun 29 01:59:51 +0000 2016;CleonirSouza;@Rio2016 @ChamaOlimpica @tinomarcosreal @tinomarcosreal deviam ter vergonhar de compactuar com esse absurdo , roubalheira generalizada;
Wed Jun 29 01:58:35 +0000 2016;_jennireis;morte lenta entregarem a cda p rio2016;
Wed Jun 29 01:57:47 +0000 2016;CartasParaLucas;RT @CocaCola_Br: .@OUrsoOficial treinou o @FeCastanhari e @t3ddyyyyy pra conduzir a #TochaOlímpica #Rio2016. #IssoÉOuro https://t.co/xA4diH…;
