/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Jun 19 01:57:05 +0000 2016;Gabacunha;RT @AlexandreJus: Você nos conhece? Isso mesmo, somos os mascotes: Calamidade e Pública! #Rio2016 https://t.co/eKPEjDTKCt;
Sun Jun 19 01:56:21 +0000 2016;Rezende_Senpai;RT @rezende_evil: Quem vai me ajudar a ganhar essa competição? https://t.co/bg6Dy227MO #omelhoranodasuavida #rio2016 #gillette https://t.co…;
Sun Jun 19 01:55:57 +0000 2016;SurtoOlimpico;Definidas as últimas equipes do Tiro com Arco no @Rio2016 https://t.co/IuXunTn2WC https://t.co/BsGXnTqSoY;
Sun Jun 19 01:52:39 +0000 2016;MarinaCafeina_;@o_antagonista @Rio2016 o Rio não continua mais tão lindo! Triste vê-lo largado assim e descuidado.;
Sun Jun 19 01:51:40 +0000 2016;HelioAloise;@pedropaulo @eduardopaes_ @CidadeOlimpica @Rio2016 Você e a máfia dos taxistas. Acabar com o UBER? Considere-me e família, ex-eleitores.;
Sun Jun 19 01:50:01 +0000 2016;jeancalen;RT @AuriceiaVieira: Ingressos para a Olimpíada começam a ser vendidos em bilheterias https://t.co/gdoWoIOV4e;
Sun Jun 19 01:48:02 +0000 2016;Cyberws;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:47:05 +0000 2016;lorsolon;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/bWeRcOkYAu;
Sun Jun 19 01:45:06 +0000 2016;biafroid;RT @Babiegs: "Se tá com medo de ir p/ o #Rio2016 por causa do Zika, não se preocupe, provavelmente vc morrerá num latrocínio antes de contr…;
Sun Jun 19 01:45:06 +0000 2016;felipebcm7;@VEJA @Rio2016  se matavam antes da chegada dos portugueses e não contribuem em nada pra construção do país. Cultura de quê?;
Sun Jun 19 01:45:04 +0000 2016;SurtoOlimpico;Destaques do Surto...saíram as últimas vagas individuais do Tiro com Arco no @Rio2016 https://t.co/89LgnMnSXw https://t.co/1gOUTQv0ke;
Sun Jun 19 01:42:54 +0000 2016;nataliawinter;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:42:50/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
 +0000 2016;barbaraferraz;Falando em amor... @Rio2016, não te esqueci. ;-);
Sun Jun 19 01:42:15 +0000 2016;MariRemor;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:41:35 +0000 2016;arcanjocesar;https://t.co/73hryAcmpG #RIO2016 ESSA É A VITÓRIA DA DIVERSIDADE,NA IGUALDADE HUMANA DE DIFERENTES SEGUIMENTOS.SOMOS TODOS IGUAIS NA RIO2016;
Sun Jun 19 01:40:21 +0000 2016;Viih_Turble;RT @rezende_evil: Quem vai me ajudar a ganhar essa competição? https://t.co/bg6Dy227MO #omelhoranodasuavida #rio2016 #gillette https://t.co…;
Sun Jun 19 01:38:28 +0000 2016;ricardoheiss;Se Barcelona ganhou, por que o Rio não pode? #Rio2016 @luciaguimaraes;
