/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Tue Jan 12 23:26:23 +0000 2016;Ritmica;RT @Rio2016: #Carnaval tá quase aí e a gente tem dicas de fantasias pra vc! A de hoje é pra quem curte #hipismo! 🐴 https://t.co/lnknFjzrC0;
Tue Jan 12 23:23:49 +0000 2016;thaleslamonier;Ficou bonito, vou curtir demais. https://t.co/tGv4ZdHSXI;
Tue Jan 12 23:22:42 +0000 2016;ilobur_news;De olho na Rio-2016, Cielo voltará a treinar nos EUA para ... - https://t.co/ebp4n6SZAy https://t.co/KhwqGQtZjy #ブラジル #五輪 #Rio2016;
Tue Jan 12 23:20:29 +0000 2016;AgathaeBarbara;Matéria super legal da nossa dupla no jornal O Dia.
#AgathaeBarbara #Rio2016 #Olimpiadas #TimeEmbratelClaro... https://t.co/L8k7gFOTup;
Tue Jan 12 23:12:00 +0000 2016;embassyofsport;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: Fim de jogo:  Brasil 81 x 39 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/g…;
Tue Jan 12 23:09:50 +0000 2016;TheBasketown;Um pouco mais da Arena Carioca que será palco de grandes jogos no @Rio2016 ... Os primeiros a… https://t.co/91zqB7gcHF;
Tue Jan 12 23:08:20 +0000 2016;Esportessencial;RT @soudoesporte: É clima de Olimpíada! Palco do basquete no #Rio2016 é inaugurado: https://t.co/pt1K6jbYz8
#AnoOlímpico #basquete #ArenaCa…;
Tue Jan 12 23:07:39 +0000 2016;soudoesporte;É clima de Olimpíada! Palco do basquete no #Rio2016 é inaugurado: https://t.co/pt1K6jbYz8
#AnoOlímpico #basquete #ArenaCarioca1;
Tue Jan 12 23:02:59 +0000 2016;ManuNiel;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: Fim de jogo:  Brasil 81 x 39 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/g…;
Tue Jan 12 23:00:03 +0000 2016;CiscoDoBrasil;Apoiamos a @livrit nas soluções inteligentes p/ locomoção de pessoas c/ deficiência #Rio2016 https://t.co/E7XjUnxJtu;
Tue Jan 12 22:57:20 +0000 2016;SimoneFuss;Maravilhas da cidade maravilhosa! #rioseulindo #Rio2016 https://t.co/CaO9NAlFwB;
Tue Jan 12 22:54:38 +0000 2016;MariaClaraSpine;Retweeted CPB OFICIAL (@cpboficial):

󾆮 A gente também tem: cpboficial https://t.co/cC8XBh3aip https://t.co/cg9kU0wEdJ;
Tue Jan 12 22:54:27 +0000 2016;MariaClaraSpine;RT @cpboficial: 👻 A gente também tem: cpboficial https://t.co/PcBBlLHz2N;
Tue Jan 12 22:53:20 +0000 2016;cpboficial;👻 A gente também tem: cpboficial https://t.co/PcBBlLHz2N;
Tue Jan 12 22:52:56 +0000 2016;ernanedantas;Contra a racionalização das linhas de ônibus do Rio #QueroMeuOnibusDeVolta @eduardopaes_ @Prefeitura_Rio @LeiSecaRJ @MarceloFreixo @Rio2016;
Tue Jan 12 22:50:17 +0000 2016;erikasouza14;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: 1 Tempo:  Brasil 44 x 22 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/CRRlN…;
Tue Jan 12 22:48:39 +0000 2016;ilobur_news;Hortência, Janeth e Marcel inauguram arena do basquete para o ... - https://t.co/tPuOTu46RU https://t.co/IzqWavj6ao #ブラジル #五輪 #Rio2016;
Tue Jan 12 22:44:49 +0000 2016;TheBasketown;Quadra do @rio2016 ... O que acharam?? https://t.co/i5E9rBNCOr;
Tue Jan 12 22:43:30 +0000 2016;JFla81;RT @Rio2016: Hoje: apresentação da Arena Carioca 1 no #ParqueOlímpico🏀🏀 https://t.co/A5YI1fwkLt;
Tue Jan 12 22:42:49 +0000 2016;eududam;@Rio2016 eu gostaria de comprar meu ingresso sabe;
