/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Jan 10 20:24:52 +0000 2016;ishallon;@romanoolimpico pediu dispensa para o Rio2016 ou não participou deste pré-olímpico?;
Sun Jan 10 20:13:32 +0000 2016;voolivrenorio;Voo Livre no Rio

#resenha #resenhabaregrill #riodejaneiro #rioinvibe #rio2016 #riodejaneiro… https://t.co/Uv8Jxd5eq1;
Sun Jan 10 20:10:38 +0000 2016;marciapink_1;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 20:09:52 +0000 2016;sebasvillamedi7;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 20:07:29 +0000 2016;Laurafwx;Se a Zika avançar o turista não vai aparece/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
r para a #Rio2016 @Rio2016;
Sun Jan 10 20:06:14 +0000 2016;_mati16;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 20:05:58 +0000 2016;elpaisdelfutbo1;RT @Brasil2016: Veja como será feito o controle de dopagem nos Jogos #Rio2016. https://t.co/O17UH08fBG https://t.co/8iA9y0ULkx;
Sun Jan 10 20:02:34 +0000 2016;FluMaes;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:58:27 +0000 2016;augustusbib;RT @taniakert: Rio de Janeiro #lazysunday #summer #Sonntag #Sommer #Rio2016 #VeraoRJ https://t.co/ziibddksYT;
Sun Jan 10 19:58:25 +0000 2016;MateuszNajbar;RT @copacabana: #Copacabana ao vivo neste dia 1º de janeiro de muito sol! #Rio2016 Vamos a la Playa?
https://t.co/MJSad0nM8i https://t.co/Z…;
Sun Jan 10 19:57:36 +0000 2016;1minutodefe;RT @taniakert: Rio de Janeiro #lazysunday #summer #Sonntag #Sommer #Rio2016 #VeraoRJ https://t.co/ziibddksYT;
Sun Jan 10 19:53:24 +0000 2016;SurtoOlimpico;Vai começar em alguns minutos Argentina e Peru, decisão da vaga da América do Sul para o Vôlei feminino do @Rio2016;
Sun Jan 10 19:50:18 +0000 2016;Euadilson1;RT @fastnoticias1: #anitta tem bloco de carnaval indeferido pela Prefeitura do #Rio2016 https://t.co/owihdMNtxA #AnittaNaMocidade #AnittaNo…;
Sun Jan 10 19:47:21 +0000 2016;Miriamclinhares;RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil;
Sun Jan 10 19:42:24 +0000 2016;du_78;RT @Brasil2016: Veja como será feito o controle de dopagem nos Jogos #Rio2016. https://t.co/O17UH08fBG https://t.co/8iA9y0ULkx;
Sun Jan 10 19:41:01 +0000 2016;Brasil2016;Veja como será feito o controle de dopagem nos Jogos #Rio2016. https://t.co/O17UH08fBG https://t.co/8iA9y0ULkx;
Sun Jan 10 19:23:43 +0000 2016;thalesmariz;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:19:32 +0000 2016;juamartinavalos;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:16:08 +0000 2016;Pauloo_He;Chega logo @Rio2016  #SomosTodosBrasil #RNnaTorcida @RedeGlobo;
Sun Jan 10 19:15:37 +0000 2016;copacabana;RT @Ester_Oliv_ #copacabana #Rio2016 https://t.co/aXW5hIXwpt https://t.co/MJSad0nM8i book https://t.co/IXRLgYJwC9;
Sun Jan 10 19:14:34 +0000 2016;Janianecastro13;RT @saidaderede: Acabou! No bloqueio, a Rússia fecha o jogo e garante um lugar no #Rio2016;
Sun Jan 10 19:12:13 +0000 2016;marciov09141853;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:10:16 +0000 2016;charlesdavid_5;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:08:00 +0000 2016;raulchapado;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:07:30 +0000 2016;ProjectCuritiba;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:07:23 +0000 2016;LFPinto2016;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:05:45 +0000 2016;vivevoley;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:05:43 +0000 2016;CataPlaDi;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:05:37 +0000 2016;Lee_tweets_;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:03:48 +0000 2016;anarsofia;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:03:28 +0000 2016;saratavares;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:03:09 +0000 2016;SalvadorRosasS;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:02:15 +0000 2016;WandaReginaKass;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:01:56 +0000 2016;elancheyta;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:01:35 +0000 2016;Rio2016;Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 19:00:37 +0000 2016;JogosOlimpicos;Woow! 😍😍 Quem vai?! https://t.co/toni7AFhVD;
Sun Jan 10 18:49:00 +0000 2016;embassyofsport;RT @LyleRYoung: https://t.co/Psr6fmCF4x Espero que #RafaelaSilva faça muito bem no #Rio. #Rio2016.;
Sun Jan 10 18:48:38 +0000 2016;ilobur_news;Vôlei masculino da Rússia garante vaga no Rio 2016; Alemanha ... - https://t.co/kukX2SeHiZ https://t.co/mqYw4h6y8I #ブラジル #五輪 #Rio2016;
Sun Jan 10 18:30:34 +0000 2016;pedromigao;RT @SurtoOlimpico: A Rússia derrota a França por 3-1 no Pré Olímpico da Europa de Vôlei Masculino e garante vaga no @Rio2016.;
Sun Jan 10 18:28:21 +0000 2016;obemviver;RT @LyleRYoung: https://t.co/Psr6fmCF4x Espero que #RafaelaSilva faça muito bem no #Rio. #Rio2016.;
Sun Jan 10 18:19:15 +0000 2016;gerardoschafer;Previa #Rio2016 🙌🌴🌊 @ Bleu Bar Club https://t.co/83ZXT9VmGZ;
