/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Thu Dec 31 22:53:53 +0000 2015| user = GolpeNuncaMais| text = RT @bilicps: @dilmabr @Rio2016 #DilmaFica  com Deus!
date = Thu Dec 31 22:53:44 +0000 2015| user = bilicps| text = @dilmabr @Rio2016 #DilmaFica  com Deus!
date = Thu Dec 31 22:53:25 +0000 2015| user = ficobr| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 22:50:15 +0000 2015| user = adaaleixo| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 22:49:56 +0000 2015| user = GolpeNuncaMais| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 22:49:54 +0000 2015| user = _matheus_cs| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 22:49:32 +0000 2015| user = marcelovvargas| text = RT @GuiLove9: @dilmabr @Rio2016 espero que 2016 seja maravilhoso, menos pra você sua baile de favela
date = Thu Dec 31 22:49:18 +0000 2015| user = lucrjviola| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 22:49:00 +0000 2015| user = Guilherme_L_SP| text = #paulista feliz e sem dinheiro. #Rio2016 c mortos s geladeira nos hospitais e a #claudialeitte ganhando 17 milhões no show da virada no rio.
date = Thu Dec 31 22:48:47 +0000 2015| user = Re_mcd| text = Em meio à crise, a última coisa que estou pensando é no @Rio2016 mais preocupada com a #corrupção #faltadesaude etc https://t.co/N1jMNmK2YN
date = Thu Dec 31 22:47:15 +0000 2015| user = marcelovvargas| text = RT @lahernandes1: @dilmabr @Rio2016 Será importante para o povo brasileiro, pq conseguiremos de fato e de vez tirar o PT de onde já deveria…
date = Thu Dec 31 22:47:08 +0000 2015| user = marcelovvargas| text = RT @marcelo_naddeo: @dilmabr @Rio2016 VTNC!!! Como vc se atreve a falar das Olimpiadas ?? Saúde um CAOS NO RJ!! Tem $ p/ os jogos e falta p…
date = Thu Dec 31 22:47:04 +0000 2015| user = marcelovvargas| text = RT @marcelo_naddeo: @Dri_Caldeira @dilmabr @Rio2016 eu tbm!! Preciso de MUITA força pra aguentar essa Jumenta!! Desemprego, Inflação,!! Val…
date = Thu Dec 31 22:47:03 +0000 2015| user = GoiasBrasil_voz| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 22:46:58 +0000 2015| user = marcelovvargas| text = RT @INGDOC: @dilmabr @Rio2016 MARGINAL MISERÁVEL, ESSE ANO VOCÊ CAI DO GOVERNO !!!
date = Thu Dec 31 22:46:41 +0000 2015| user = casa_dos_pobres| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 22:40:38 +0000 2015| user = jornalistavitor| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 22:39:12 +0000 2015| user = maya20121| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
