/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat Feb 06 00:11:55 +0000 2016;luisao_11;RT @basquetebrasil: Entrevista: Angela Bellinati, a mesária mais experiente do @Rio2016  #Rio2016 bit.ly1KumPWW 
#somostodosbasquete https:…;
Sat Feb 06 00:03:42 +0000 2016;ikmkoji;RT g1 "FOTOS: primeira noite de desfiles da série A no Rio https://t.co/6O8OPORnwr #Globeleza #G1 https://t.co/lCN1RR9Py1"#TimBeta;
Sat Feb 06 00:00:44 +0000 2016;EmbaixadaEUA;Lançamos nossa série de vídeos sb esportes #olímpicos #MeuEsporte. Aprenda sb tiro c/ #arco: https://t.co/wriH8FICNL #USinRio #Rio2016;
Fri Feb 05 23:59:44 +0000 2016;Gle_Corinthiano;RT @g1: FOTOS: primeira noite de desfiles da série A no Rio https://t.co/BYnj1eLhI6 #Globeleza #G1 https://t.co/NNunYSagUN;
Fri Feb 05 23:59:23 +0000 2016;poetafratello;RT @g1: FOTOS: primeira noite de desfiles da série A no Rio https://t.co/BYnj1eLhI6 #Globeleza #G1 https://t.co/NNunYSagUN;
Fri Feb 05 23:56:38 +0000 2016;TamaraEse;RT @g1: FOTOS: primeira noite de desfiles da série A no Rio https://t.co/BYnj1eLhI6 #Globeleza #G1 https://t.co/NNunYSagUN;
Fri Feb 05 23:56:15 +0000 2016;ulissesportela;RT @g1: FOTOS: primeira noite de desfiles da série A no Rio https://t.co/BYnj1eLhI6 #Globeleza #G1 https://t.co/NNunYSagUN;
Fri Feb 05 23:55:44 +0000 2016;juniavsantiago;RT @g1: FOTOS: primeira noite de desfiles da série A no Rio https://t.co/BYnj1eLhI6 #Globeleza #G1 https://t.co/NNunYSagUN;
Fri Feb 05 23:55:35 +0000 2016;Carnaval_Vix;FOTOS: primeira noite de desfiles da série A no Rio https://t.co/szH9fj2dg0 #Globeleza #G1… https://t.co/ygA8UkgwNP;
Fri Feb 05 23:52:57 +0000 2016;g1;FOTOS: primeira noite de desfiles da série A no Rio https://t.co/BYnj1eLhI6 #Globeleza #G1 https://t.co/NNunYSagUN;
Fri Feb 05 23:48:13 +0000 2016;gilmarcosta55;RT @CleberAmaral_: As Forças Armadas foram autorizadas a usar bloqueadores de celular nas Olimpíadas #Rio2016. https://t.co/KHekLjv0TW http…;
Fri Feb 05 23:47:18 +0000 2016;radiolasp;Superliga 2015/2016 Osasco x Praia Clube #Superliga #CBV #Nestlé #Volley #Olympic #Rio2016 @… https://t.co/qSzJlvgUNh;
Fri Feb 05 23:46:54 +0000 2016;LiberJimenez;RT @CleberAmaral_: As Forças Armadas foram autorizadas a usar bloqueadores de celular nas Olimpíadas #Rio2016. https://t.co/KHekLjv0TW http…;
Fri Feb 05 23:46:03 +0000 2016;NATUSDDT;RT @CleberAmaral_: As Forças Armadas foram autorizadas a usar bloqueadores de celular nas Olimpíadas #Rio2016. https://t.co/KHekLjv0TW http…;
Fri Feb 05 23:45:25 +0000 2016;furlantricolor;RT @CleberAmaral_: As Forças Armadas foram autorizadas a usar bloqueadores de celular nas Olimpíadas #Rio2016. https://t.co/KHekLjv0TW http…;
Fri Feb 05 23:45:23 +0000 2016;BrasilUrgente8;RT @CleberAmaral_: As Forças Armadas foram autorizadas a usar bloqueadores de celular nas Olimpíadas #Rio2016. https://t.co/KHekLjv0TW http…;
Fri Feb 05 23:44:19 +0000 2016;BbtTwitteira;RT @CleberAmaral_: As Forças Armadas foram autorizadas a usar bloqueadores de celular nas Olimpíadas #Rio2016. https://t.co/KHekLjv0TW http…;
Fri Feb 05 23:42:30 +0000 2016;EC_Santos;A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/ARnzR8jtIR via @UOLEsporte #Rio2016;
Fri Feb 05 23:42:12 +0000 2016;CleberAmaral_;As Forças Armadas foram autorizadas a usar bloqueadores de celular nas Olimpíadas #Rio2016. https://t.co/KHekLjv0TW https://t.co/RNV4azHCy4;
Fri Feb 05 23:34:26 +0000 2016;AnaJurisPaula;RT @bbcbrasil: Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/NEXvOYzEYJ https://t.co/Vm…;
Fri Feb 05 23:30:35 +0000 2016;brenobarros;produtor da cerimônia de abertura do #Rio2016 promete experiências sensoriais.   https://t.co/nR1gNWtiQ2;
Fri Feb 05 23:23:41 +0000 2016;Seba_Pereira;RT @JogosOlimpicos: Estamos chegando! Faltam seis meses para os Jogos @Rio2016! #RoadToRio ⚽🏊🏇🚴⛳🎾🏀🎯💛💚🌞 https://t.co/1YjSDvaDL0;
Fri Feb 05 23:22:27 +0000 2016;flaviodilascio;Fabiana Murer salta em shopping e leva a prata em prova na Alemanha #rio2016 https://t.co/xtY7yCk8Mc;
Fri Feb 05 23:13:07 +0000 2016;anamarquesss;Ângulos de um carnaval. #rio2016 https://t.co/rONEBoYHhL;
Fri Feb 05 23:06:54 +0000 2016;LauraVieiraDias;RT @wielewski_13: Retweeted Portal Brasil (@portalbrasil):

⚠✅ Jogos #Rio2016 serão realizados com total atenção à saúde, diz... https://t.…;
Fri Feb 05 23:04:45 +0000 2016;marushiamaru;RT @jornalodia: Cientistas dizem que 'é hora de cancelar Olimpíadas no Rio' por surto do #Zika https://t.co/aRfBREAryU #Rio2016 https://t.c…;
Fri Feb 05 23:02:58 +0000 2016;wielewski_13;Retweeted Portal Brasil (@portalbrasil):

