/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Sun Jan 31 21:55:33 +0000 2016| user = DawnOfInjustice| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 21:47:48 +0000 2016| user = LOVELY_DDOG| text = Triste e lamentável.
#Rio2016  https://t.co/aMkTZ07j7c
date = Sun Jan 31 21:39:29 +0000 2016| user = marcelotonet7| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 21:33:03 +0000 2016| user = oConsciente| text = ptbrasil: RT Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (pretagil) n… https://t.co/oD7KgwkGQr
date = Sun Jan 31 21:32:40 +0000 2016| user = ieda_mara| text = @Rio2016 @ptbrasil @PretaGil @JogosOlimpicos @PretaGil @Paralympic @Olympics @CidadeOlimpica VEXAME...OLHA AS  CURTIDAS KKK VEXAME VEXAME.
date = Sun Jan 31 21:31:47 +0000 2016| user = ptbrasiI| text = RT Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (pretagil) no #Blocoda… https://t.co/vn5y1DXWFd
date = Sun Jan 31 21:31:15 +0000 2016| user = aaron_canada1| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 21:20:36 +0000 2016| user = ptbrasil| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 21:20:33 +0000 2016| user = viniciusdocarmo| text = 2nd Rio 2016 coin!!! / 2a moeda comemorativa dos Jogos Rio 2016!!! #rio2016 #Rio2016Games… https://t.co/QVY2HIkLgy
date = Sun Jan 31 21:11:16 +0000 2016| user = martinchab1997| text = RT @Rio2016: Que tal aproveitar o dia na praia, testando o equilíbrio no slackline? #FicaDica #LifestyleRio2016 https://t.co/6HeDUdO9V8
date = Sun Jan 31 20:59:06 +0000 2016| user = PortalENV| text = Encontre sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016 https://t.co/5XgN2G8vfr #Rio2016 #EmbarqueNaViagem
date = Sun Jan 31 20:59:06 +0000 2016| user = DicasdoEmbarque| text = Encontre sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016 https://t.co/CbGQa6VHrI #Rio2016 #EmbarqueNaViagem
date = Sun Jan 31 20:59:06 +0000 2016| user = LifeStyleENV| text = Encontre sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016 https://t.co/M39DWJBeKf #Rio2016 #EmbarqueNaViagem
date = Sun Jan 31 20:59:05 +0000 2016| user = Embarque| text = Encontre sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016 https://t.co/GFFG5sbgP0 #Rio2016 #EmbarqueNaViagem
date = Sun Jan 31 20:59:05 +0000 2016| user = Nairoquinha| text = Encontre sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016 https://t.co/cJLiBZ5Vck #Rio2016 #EmbarqueNaViagem
date = Sun Jan 31 20:57:26 +0000 2016| user = anamarcela92| text = RT @anapathy18: Parabéns @anamarcela92 esse é merecidíssimo!! Que venho #rio2016 .… https://t.co/9UuXWrlCEl
date = Sun Jan 31 20:57:05 +0000 2016| user = jlocindo| text = RT @Rio2016: No clima do #DiaDaSaudade, mais um pouquinho de Vinicius de Moraes! https://t.co/gJQkI2x4g3
date = Sun Jan 31 20:56:37 +0000 2016| user = elainefmflf| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:55:20 +0000 2016| user = DaniBarnabe| text = Esse é o cara!! https://t.co/ORgvb6EJ1t
date = Sun Jan 31 20:54:52 +0000 2016| user = DaniBarnabe| text = Notícias Olímpicas: https://t.co/DdqC8CyUS3
date = Sun Jan 31 20:52:32 +0000 2016| user = anapathy18| text = Parabéns @anamarcela92 esse é merecidíssimo!! Que venho #rio2016 .… https://t.co/9UuXWrlCEl
date = Sun Jan 31 20:49:28 +0000 2016| user = gringa_pooh| text = RT @viciadaemlarry: Gostaria de pedir a banda One Direction p os Jogos Olímpicos do Rio! @Rio2016 
#HistoryProject
date = Sun Jan 31 20:45:26 +0000 2016| user = DUARTEPHILIPE| text = Sou #VoluntárioRio2016! Veja se você também é em https://t.co/WHkxJJtr7R
