/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Mar 25 21:16:10 +0000 2016;Hortencia;Esse é Caipira mesmo.... Indo a Áustria para ver uma competição de Adestramento. 🐎🐎🐎🐎 #timebrasil #rio2016 #orgulho https://t.co/6eKqiQNw1s;
Fri Mar 25 21:13:21 +0000 2016;Laurafwx;RT @cpboficial: 🏇🏼🏇🏼🏇🏼 Garanta seu ingresso para ver os #Guerreiros do #Hipismo nos #JogosParalímpicos! https://t.co/69ZV38tiBY https://t.c…;
Fri Mar 25 21:13:12 +0000 2016;CariocaEconomia;RT @Rio2016: Aproveita o tempo livre no feriadão para mostrar sua arte no nosso app! Ela pode virar #NossosSelosRio2016 https://t.co/QOzlTO…;
Fri Mar 25 21:12:56 +0000 2016;schonebm55;@BenSiems boooooooooom. Leggoooooo. #Rio2016;
Fri Mar 25 21:12:38 +0000 2016;adrmil;RT @Rio2016: Tudo ou nada: #EUA e #Colômbia disputam a última vaga no #futebol para o #Rio2016! https://t.co/paYvEz6aVG https://t.co/iuFDlg…;
Fri Mar 25 20:52:21 +0000 2016;Mari_Prodigy;RT @ditonobar: É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 20:51:24 +0000 2016;Gea_Colombo;RT @ditonobar: É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 20:46:14 +0000 2016;JairPagno;RT @TomRio2016: Essa noite sonhei que já estava na abertura do @Rio2016, festejando com todo mundo numa festa mto animada! 😍 https://t.co/F…;
Fri Mar 25 20:33:58 +0000 2016;elialukas1;RT @ditonobar: É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 20:26:50 +0000 2016;californiaxglrs;RT @ditonobar: É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 20:25:19 +0000 2016;dripompeo;RT @ditonobar: É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 20:24:11 +0000 2016;bibamaconh4do;RT @ditonobar: É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 20:23:43 +0000 2016;VickdosReis1;RT @ditonobar: É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 20:22:53 +0000 2016;elianessena;RT @dejaldir: https://t.co/mNVS2yYMEW A força da banana com paçoca de Adriana. #maratona #rio2016;
Fri Mar 25 20:22:47 +0000 2016;Ribeiro_Affonso;RT @ditonobar: É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 20:20:32 +0000 2016;TcpSandra;https://t.co/wFwBLU2rQj
Matheus Miranda
Agora é lista de espera,... https://t.co/MgR83ee0Uc;
Fri Mar 25 20:19:32 +0000 2016;citousuavida;RT @ditonobar: É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 20:10:43 +0000 2016;basiliorn;RT @Rio2016: 5 dicas de atletas para manter a forma no feriado! 💪 https://t.co/9v9XCEy1hP https://t.co/yAraRsi7Nk;
