/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Sat Mar 05 03:09:40 +0000 2016| user = claudiabambini| text = Fofas as medalhas do #Rio2016  né?!😏😏😏 https://t.co/Kq3eezjbt6
date = Fri Mar 04 23:05:14 +0000 2016| user = ayukasoccer| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 22:55:05 +0000 2016| user = iranhudson| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 22:51:39 +0000 2016| user = TorcidaBrasil2| text = #SeleçãoFeminina vence a segunda na #CopaAlgarve, em Portugal https://t.co/EAHVTjl4F0 #Rio2016 #Futebol https://t.co/kNvNnY4yB6
date = Fri Mar 04 22:43:48 +0000 2016| user = Eric_Albani| text = RT @Rio2016: Pra ficar por dentro da classificação do #badminton, é só clicar aqui: https://t.co/CBYYKhilYw https://t.co/eybzTvtq0G
date = Fri Mar 04 22:38:36 +0000 2016| user = danielle_dsilva| text = Serena mira ouro olímpico, mas revela receio com zika e vinda ao país https://t.co/O4tTtI85uO via @UOLEsporte #Rio2016
date = Fri Mar 04 22:37:45 +0000 2016| user = Matheussfc_1912| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 22:34:05 +0000 2016| user = mauriliog7| text = RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016
date = Fri Mar 04 22:28:41 +0000 2016| user = ImoveisFarid| text = COB lança música para torcida apoiar atletas nos Jogos Olímpicos do Rio via @UOLEsporte #Rio2016   https://t.co/S7AKFDDY2V
date = Fri Mar 04 22:23:57 +0000 2016| user = josesolonh| text = RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016
date = Fri Mar 04 22:23:12 +0000 2016| user = tadeu_alves| text = RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016
date = Fri Mar 04 22:23:07 +0000 2016| user = karolinwtavares| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 22:21:55 +0000 2016| user = rumourscanadian| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 22:17:19 +0000 2016| user = hamiltonribeiro| text = RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016
date = Fri Mar 04 22:16:00 +0000 2016| user = avozdobrasil| text = Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016
date = Fri Mar 04 22:14:57 +0000 2016| user = silvafalexandre| text = Aumentando a quilometragem nos tubos da praia brava. 󾀸 

#EntreSalinaseMar #Rio2016 #Brazilianboogie #BeachandSun... https://t.co/5WqW1XqcOz
date = Fri Mar 04 22:02:06 +0000 2016| user = rute_leo| text = Sonhar com 4 no Rio'2016 https://t.co/ztSo04Y4nd
date = Fri Mar 04 22:01:58 +0000 2016| user = rcview| text = Boa noite e um ótimo final de semana! #rcview #letsfilm #Rio2016 #CidadeOlimpica #job #audiovisual #fotografia https://t.co/6WRbopWYHQ
date = Fri Mar 04 21:59:08 +0000 2016| user = lekotjs| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 21:57:40 +0000 2016| user = oicatatau| text = RT @AqueceRio: O #EventoTeste de #NadoSincronizado começou hoje e... vai ser aberto ao público! 💦👯 https://t.co/NF9sXw7cXK https://t.co/QFY…
date = Fri Mar 04 21:56:42 +0000 2016| user = lwurah| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 21:56:42 +0000 2016| user = SantosFC_SFC| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 21:46:54 +0000 2016| user = CienciaDoVinho| text = Rio 2016 inspira linha de vinhos com 'alma' Olímpica - Rio 2016 https://t.co/CXJMGbYBia
date = Fri Mar 04 21:46:44 +0000 2016| user = catiartakahashi| text = Tocha Olímpica Rio 2016: CHAMA QUEM FAZ! https://t.co/PZYbAJWxtT
date = Fri Mar 04 21:42:27 +0000 2016| user = _mateus2014| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 21:41:01 +0000 2016| user = CataPlaDi| text = RT @ViniciusRio2016: O @rio2016 vai rolar na #CidadeMaravilhosa e é em Copa que vamos ver o #VôleiDePraia, cheio de grandes atletas! 😎 http…
date = Fri Mar 04 21:35:23 +0000 2016| user = luizatrajano| text = E olha que legal! A #Rio2016 abriu inscrições para artistas que queiram atuar com entretenimento durante os Jogos! https://t.co/EjPI3xx4xZ
date = Fri Mar 04 21:35:03 +0000 2016| user = corpo_delama| text = @AgoranoDribla vexames à vista : seleção olímpica da #cbfVERGONHA e #Rio2016
date = Fri Mar 04 21:28:14 +0000 2016| user = saahsantana_| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 21:26:21 +0000 2016| user = __JoaoVitor| text = RT @lancenet: Brasil classifica mais três atletas para a Rio-2016 na luta olímpica - https://t.co/vs8xKwpRa4
date = Fri Mar 04 21:25:57 +0000 2016| user = jaocanas| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 21:24:39 +0000 2016| user = AlineVargas_TJS| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 21:22:55 +0000 2016| user = lancenet| text = Brasil classifica mais três atletas para a Rio-2016 na luta olímpica - https://t.co/vs8xKwpRa4
