/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Mar 18 03:06:17 +0000 2016;Lyviaaramos;RT @t3ddyyyyy: sabe a tocha olimpica? então.....

VOU CARREGAR ELA NAS OLIMPÍADAS 2016 💙✨

obg @CocaCola_Br #TochaOlimpica #Rio2016 https:/…;
Fri Mar 18 01:42:58 +0000 2016;esportegestao;RT @SurtoOlimpico: Em primeira mão, o uniforme do basquete do Brasil para o @Rio2016 (via @ChrisChavezSI) https://t.co/v840exhZ13;
Fri Mar 18 01:37:21 +0000 2016;CristhiCalderon;Seguimos sumando 󾭞 #Río2016 https://t.co/Jwiz6VYfPx;
Fri Mar 18 01:32:12 +0000 2016;victorcabada;RT @COlimpicoPanama: ¡OFICIAL!  Comité Olímpico de Panamá confirma cupo de la taekwondista @CarolenaPanama para #Rio2016 https://t.co/j4SGQ…;
Fri Mar 18 01:25:56 +0000 2016;RicardoVolunta;RT @BeaBia2015: Rio rescinde contrato e abandona último legado ambiental da Olimpíada https://t.co/ciugE3Hz0l via @UOLEsporte #Rio2016;
Fri Mar 18 01:22:41 +0000 2016;elis_pa;@isac_viana @volei @Lucarelli8 @brunorezende1 @dantevolei18 @lucao16volei @Murilovolei8 @Rio2016 @Olimpiadas olímpiadas. contando os dias;
Fri Mar 18 01:22:01 +0000 2016;BeaBia2015;Rio rescinde contrato e abandona último legado ambiental da Olimpíada https://t.co/ciugE3Hz0l via @UOLEsporte #Rio2016;
Fri Mar 18 01:18:59 +0000 2016;ANNINHABASQUETE;#Rio2016 Eu sou condutor, super feliz !!!! https://t.co/iBzS39VyeB;
Fri Mar 18 01:16:15 +0000 2016;virgiliofneto;RT @guanarugby: Já saiu a tabela. Dá-lhe, Guana! #BrasilRugby #SempreRugby #GuanaTotal #SuperSevens #TotalRugbySevens #Rio2016 https://t.co…;
Fri Mar 18 01:15:50 +0000 2016;DSNPMRS;RT @WhoIsCarlos: GENTEE MIM SEGURA MEU CORASSAUM EU TO AHIAKSJSJS VOU CARREGAR A #TochaOlímpica #Rio2016 valeu @CocaCola_Br https://t.co/Ko…;
Fri Mar 18 01:15:22 +0000 2016;biancameno;RT @t3ddyyyyy: sabe a tocha olimpica? então.....

VOU CARREGAR ELA NAS OLIMPÍADAS 2016 💙✨

obg @CocaCola_Br #TochaOlimpica #Rio2016 https:/…;
Fri Mar 18 01:12:56 +0000 2016;henriqu07079183;RT @WebMotors: #Lançamentos: em homenagem aos jogos do @Rio2016 , @Nissan_Oficial lança versão do March! https://t.co/dfCyFJHqLP https://t.…;
