/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Mar 30 00:16:22 +0000 2016;GustavoM2014;RT @portalbrasil: 💡🇧🇷 Fornecimento de energia para os Jogos #Rio2016 está garantido https://t.co/pc7neyFfIT @Brasil2016;
Wed Mar 30 00:14:07 +0000 2016;CoxinhaNerd;Post quentinho: Conheça a tecnologia do Rio2016! https://t.co/ZjG6RceYPw;
Wed Mar 30 00:13:57 +0000 2016;CoxinhaNerd;Post quentinho: Conheça a tecnologia do Rio2016! https://t.co/cQynvOop7X;
Wed Mar 30 00:13:55 +0000 2016;Joe08939236;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Wed Mar 30 00:13:49 +0000 2016;5s5MtZBrsTIVped;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Wed Mar 30 00:11:59 +0000 2016;Gaming_Area;Conheça a tecnologia do Rio2016! https://t.co/IQ2MFfEYCP (via @CoxinhaNerd);
Wed Mar 30 00:11:58 +0000 2016;geek_dicas;Conheça a tecnologia do Rio2016!: No ano passado, fomos conhecer um pouquinho da tecnologia... https://t.co/oUqwhuLAk0 (via @CoxinhaNerd);
Wed Mar 30 00:11:57 +0000 2016;filmesegames;Conheça a tecnologia do Rio2016!: No ano passado, fomos conhecer um pouquinho da tecnologia q... https://t.co/Xl6aDCQiw1 via @coxinhanerd;
Wed Mar 30 00:11:55 +0000 2016;Nerddaroca;Conheça a tecnologia do Rio2016!: No ano passado, fomos conhecer um pouquinho da tecnologia q... https://t.co/StkvO7sErv via @CoxinhaNerd;
Wed Mar 30 00:11:54 +0000 2016;Geekiados;Veja: Conheça a tecnologia do Rio2016! https://t.co/TnhrTrKCDD (via @CoxinhaNerd);
Wed Mar 30 00:11:54 +0000 2016;SashimyNerd;Conheça a tecnologia do Rio2016! https://t.co/WTQg8fGvUF @coxinhanerd;
Wed Mar 30 00:11:53 +0000 2016;karenpatylira;Conheça a tecnologia do Rio2016! https://t.co/l8doHQoyYa (via @coxinhanerd);
