/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Mar 31 03:05:49 +0000 2016;Biancacarrvalho;Vai fazer história nas olimpiadas @Rio2016 https://t.co/UKPpWKm6Rz;
Thu Mar 31 01:34:35 +0000 2016;youlacrou;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:34:32 +0000 2016;Magazine_W;Hoje na capa do #WMagazine https://t.co/OrnDcehuOb SAPO Jornais https://t.co/fQ6tjKUjii #Rio2016 #DilmaRousseff #Bruxelas #terrorismo #mundo;
Thu Mar 31 01:33:40 +0000 2016;KarenSantos1515;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Thu Mar 31 01:33:26 +0000 2016;youlacrou;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 01:31:38 +0000 2016;elpaisdelfutbo1;RT @Rio2016: Todos os times de #futebol Olímpico já estão definidos e o sorteio dos grupos acontece no dia 14 de abril! ⚽⚽⚽ https://t.co/uZ…;
Thu Mar 31 01:28:19 +0000 2016;reinaldoandrade;Cria de Chávez e fã de Lula, esgrimista venezuelana estará na Rio-16  https://t.co/LIPHFYQClD via @UOLEsporte #Rio2016;
Thu Mar 31 01:25:52 +0000 2016;BurguerFig;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 01:25:45 +0000 2016;Henriquehcp;RT @JornalOGlobo: O @Blog_Britanioca acompanhou @EmilyRYates em um teste sobre acessibilidade para a #Rio2016: https://t.co/fuwNM7xM4q http…;
Thu Mar 31 01:25:01 +0000 2016;sorteio_s;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:24:51 +0000 2016;AAC_Briosa;COP apreensivo com Jogos do Rio: José Manuel Constantino, presidente do Comité Olímpico de Portugal, manifesto... https://t.co/vspsIfLHRs;
Thu Mar 31 01:23:17 +0000 2016;arevengerstale;RT @Rio2016: Todos os times de #futebol Olímpico já estão definidos e o sorteio dos grupos acontece no dia 14 de abril! ⚽⚽⚽ https://t.co/uZ…;
Thu Mar 31 01:22:51 +0000 2016;brunoprg;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Thu Mar 31 01:22:41 +0000 2016;tvbombinhas;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Thu Mar 31 01:20:25 +0000 2016;MologniMarqs;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:18:11 +0000 2016;zoeirafig;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:16:05 +0000 2016;KetelynBarbosa;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 01:15:38 +0000 2016;Cachosdeasfalto;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:10:00 +0000 2016;tvbombinhas;RT @channel100TV: Welcome Rio de Janeiro #RT @MarcariYuste 
@tvfloripa @kentkristensen1 @channel100TV @tvmercure #Rio2016;
Thu Mar 31 01:09:50 +0000 2016;tvbombinhas;RT @TheNewYokohamar: “@tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 …… https://t.co/3S6n…;
Thu Mar 31 01:08:06 +0000 2016;kaelly_drew;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:03:35 +0000 2016;youlacrou;RT @FeCastanhari: Precisamos conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016
Hey, #AjudaLuciano 
#IssoÉOuro 
 https://t.co/J…;
Thu Mar 31 01:03:16 +0000 2016;lokaosouza15;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 00:59:08 +0000 2016;diemorales_;Una maravilla el museo #cidadeolimpica #rio2016 @ Museu do Amanhã https://t.co/oKHqdrUPpn;
Thu Mar 31 00:56:24 +0000 2016;GamerPlay16;RT @FeCastanhari: Precisamos conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016
Hey, #AjudaLuciano 
#IssoÉOuro 
 https://t.co/J…;
Thu Mar 31 00:56:03 +0000 2016;Flamenguistico;RT @JamilChade: Lava Jato se aproxima da Rio2016...e COI adota um silêncio ensurdecedor diante das suspeitas. https://t.co/k3jLEzFeBW;
Thu Mar 31 00:50:23 +0000 2016;lokonadochrist1;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 00:48:08 +0000 2016;PINTOCO13ELO;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:47:48 +0000 2016;justmyelgort;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:47:35 +0000 2016;justmyelgort;RT @FeCastanhari: Precisamos conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016
Hey, #AjudaLuciano 
#IssoÉOuro 
 https://t.co/J…;
Thu Mar 31 00:47:32 +0000 2016;justmyelgort;RT @brunavieira: HELP! 😱😱😱 Nos ajudem a conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016 #AjudaLuciano #IssoÉOuro https://t.c…;
Thu Mar 31 00:47:32 +0000 2016;Real_BOPE_RJ;RT @DefesaGovBr: .@marmilbr e dos EUA fazem simulado de ação antiterrorista como parte da preparação p/ #Rio2016 https://t.co/rRm2ncR8Ls;
Thu Mar 31 00:43:35 +0000 2016;madu_ventura;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #To/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
chaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:41:46 +0000 2016;gaby_darosa;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 00:41:39 +0000 2016;Luaabr7;RT @Rio2016: .@steveguerdat está em busca do 2º ouro Olímpico e já tá preparando seu lendário 🐴para isso! https://t.co/6BIjN5dCvP https://t…;
Thu Mar 31 00:41:06 +0000 2016;OliveiraFlaMMA;Marinhas do Brasil e dos EUA fazem simulado de ação  antiterrorista https://t.co/2jsx3kWezf #Rio2016 https://t.co/p1E6pnyfCB;
Thu Mar 31 00:40:38 +0000 2016;lTSREYNOLDS;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:39:00 +0000 2016;gaby_darosa;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:38:55 +0000 2016;SimplyCarine;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 00:38:47 +0000 2016;SimplyCarine;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:38:02 +0000 2016;jhhenifersilva;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:32:08 +0000 2016;poha_mandyy;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:29:14 +0000 2016;kahOliveira96;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:29:09 +0000 2016;H4rdG;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:26:47 +0000 2016;AutodromoRio;Isso mesmo! Um dos grandes erros do governo petista foi embarcar na canoa #Rio2016 junto com o megalomaníaco Paes! https://t.co/GzLcu7cHYU;
Thu Mar 31 00:26:15 +0000 2016;ever_chrisfig;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 00:25:48 +0000 2016;fabioleyser;@RicardoLeyser @dilmabr @minesporte @Rio2016 parabéns pela justa conquista! Muito orgulho de vê-lo no Ministério!;
Thu Mar 31 00:23:07 +0000 2016;_AmandaLrds;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:22:48 +0000 2016;cwolfbr;Tá feia a coisa na #Rio2016 !!!! https://t.co/ig6WLTPTc8;
Thu Mar 31 00:20:35 +0000 2016;channel100TV;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Thu Mar 31 00:19:45 +0000 2016;bitchzinhaa;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:19:13 +0000 2016;min_lissonger;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 00:14:44 +0000 2016;gabbie_langer;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:14:42 +0000 2016;lida_tsoukia;@TeamCanada @Rio2016_en Parabens Digital Team!!;
Thu Mar 31 00:10:10 +0000 2016;joicejgb;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:06:23 +0000 2016;jornalistavitor;RT @EstadaoEsporte: Marinha faz simulado de ação antiterrorista em preparação para @Rio2016. Veja fotos: https://t.co/oV11i8bX0N https://t.…;
Thu Mar 31 00:04:53 +0000 2016;CelticDepressao;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:02:00 +0000 2016;direcsummer;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:01:51 +0000 2016;idolsfuckss;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 00:00:45 +0000 2016;paixaochrisfig;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 00:00:37 +0000 2016;guicppe9;@SurtoOlimpico Dizem que é amanhã que será divulgado o calendário completo das provas do rio2016.Verdade?se sim,sabe o horário?Abe.;
Wed Mar 30 23:58:18 +0000 2016;LOUISTWlNK;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Wed Mar 30 23:56:47 +0000 2016;calita_martins;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Wed Mar 30 23:54:55 +0000 2016;daIlasafe;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
