/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Aug 04 03:08:32 +0000 2016;claramelo14;Hoje finalmente consegui assistir de pertinho o treino da China na UFJF!!! Foi incrível!!! #Rio2016 #UFJF2016 #Voluntario;
Thu Aug 04 03:08:31 +0000 2016;oxenteclaudinha;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:28 +0000 2016;FernandesRita2;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:27 +0000 2016;whorenault;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:26 +0000 2016;liceformiga;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:26 +0000 2016;LuizBigHead;Analisamos a vitória do #BRA sobre a #CHN no futebol feminino dos Jogos @Rio2016. Acesse o @Torcedorescom e confira. https://t.co/QWbcxLtafP;
Thu Aug 04 03:08:24 +0000 2016;brnartz;RT @TheACMario: O Brasileiro precisa ser estudado hahahahahahahahah #Rio2016 https://t.co/GDKFG0IahY;
Thu Aug 04 03:08:24 +0000 2016;meuamorpelanap;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:22 +0000 2016;RoseImaculada;O povo gritando Zika pra Hope Solo foi hilário.Brasileiro perde o amigo,nesse caso a amiga mas não perde a piada #Rio2016;
Thu Aug 04 03:08:22 +0000 2016;AlvesPauloP;RT @SeuEsporteBR: Encerramos aqui, o nosso aperitivo do que vai ser a nossa cobertura da #Rio2016. 6 jogos em tempo real. Obrigado a todos…;
